"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","KYDIEUTRA","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","n_app_drug","n_app_insect_fungi","n_insecticide","n_fungicide","n_app_fert","sum_fert","water_source","pipe","n_drydown","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","Province_name","Region","HOSO","DANTOCCHUHO","THUNHAP","TONGCHITIEU","M8_C1","dummy_1m","dummy_1r","dummy_1m1r","dummy_2r_fert","dummy_2r_n_app","dummy_1m2r","dummy_3r_n_app","dummy_3r_insect_1app","dummy_3r_fungi_2app","dummy_3r_stage","dummy_1m3r","dummy_4r","dummy_1m4r","dummy_5r","dummy_1m5r"
"18",2,27,811,7,811007012,1,2,0,0,1,0,3,2,2,1,1,1,0,1,584200,4,2,0,5,"Sao Bac Bo (360m2)",166.666666666667,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"19",2,27,811,7,811007013,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,4,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"20",2,27,811,7,811007014,1,2,0,0,1,0,3,2,2,0,0,0,0,1,0,4,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"21",2,27,811,7,811007015,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,3,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"22",2,27,811,7,811007016,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,3,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"23",2,31,1006,7,1006007001,1,2,0,0,1,0,2,1,3,1,0,1,0,1,27.78,5,NA,2,5,"Sao Bac Bo (360m2)",55.5555555555556,99,"bao thai","Tinh Ha Giang","2_NMMA","1",8,44063,NA,3,0,1,0,1,0,0,1,1,1,0,NA,0,0,0,0
"24",2,31,1006,7,1006007002,1,2,0,0,1,0,3,1,3,2,2,2,0,2,41400,5,NA,1,99,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","2",8,114961,NA,3,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0
"25",2,31,1006,7,1006007003,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","3",8,38872,NA,4,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"26",2,31,1006,7,1006007004,1,2,0,0,1,0,3,1,3,2,2,2,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","4",8,47374,NA,6,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0
"27",2,31,1006,7,1006007005,1,2,0,0,1,0,3,1,3,2,2,2,0,1,36800,5,NA,1,4,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa thuần","Tinh Ha Giang","2_NMMA","5",8,46391,NA,2,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0
"28",2,31,1006,7,1006007006,1,2,0,0,1,0,3,1,3,1,1,1,0,1,23000,5,NA,1,4,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","6",8,106126,NA,6,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"29",2,31,1006,7,1006007008,1,2,0,0,1,0,3,1,3,1,1,1,0,2,59800,5,NA,1,99,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa thuần","Tinh Ha Giang","2_NMMA","8",8,51551,0,3,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0
"30",2,31,1006,7,1006007009,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",222.222222222222,3,"lúa thuần","Tinh Ha Giang","2_NMMA","9",8,107820,NA,3,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"31",2,31,1006,7,1006007011,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","11",8,98865,NA,6,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"32",2,31,1006,7,1006007012,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","12",8,176700,NA,4,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"33",2,31,1006,7,1006007013,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","13",8,104493,134983.5,3,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0
"34",2,31,1006,7,1006007015,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,2,5,"Sao Bac Bo (360m2)",111.111111111111,3,"lúa thuần","Tinh Ha Giang","2_NMMA","15",8,23950,29061.5,3,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"35",2,32,1057,1,1057001001,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"o","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"36",2,32,1057,1,1057001002,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"37",2,32,1057,1,1057001003,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"38",2,32,1057,1,1057001004,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"o","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"39",2,32,1057,1,1057001005,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"40",2,32,1057,1,1057001006,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"41",2,32,1057,1,1057001007,1,2,0,0,1,0,3,2,2,0,0,0,0,1,0,5,NA,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"42",2,32,1057,1,1057001008,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"43",2,32,1057,1,1057001009,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"44",2,32,1057,1,1057001010,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,4,2,0,99,"Sao Bac Bo (360m2)",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"45",2,32,1057,1,1057001011,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"46",2,32,1057,1,1057001012,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"47",2,32,1057,1,1057001013,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"48",2,32,1057,1,1057001014,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,4,2,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"49",2,32,1057,1,1057001015,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,3,2,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"50",2,34,1171,4,1171004002,1,2,0,0,1,0,2,1,3,2,2,2,0,2,420000,4,2,1,4,"Sao Bac Bo (360m2)",194.444444444444,1,"pc15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,0,NA,0,0,0,0
"51",2,34,1171,4,1171004013,1,2,0,0,1,0,3,2,3,1,1,1,0,2,8.33,4,2,1,5,"Sao Bac Bo (360m2)",41.6666666666667,99,"BC15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,NA,0,0,0,0
"52",2,34,1171,4,1171004015,1,2,0,0,1,0,3,2,3,2,1,1,1,2,102.22,4,2,2,5,NA,138.888888888889,1,"BC15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"53",2,34,1186,11,1186011001,1,2,0,0,1,0,3,2,2,2,2,2,0,3,300,4,2,0,99,"Sao Bac Bo (360m2)",27.7777777777778,99,"lai","Tinh Ha Giang","2_NMMA","1",2,59664,NA,3,0,1,0,0,1,0,1,0,1,0,NA,0,0,0,0
"54",2,34,1186,11,1186011002,1,2,0,0,1,0,2,2,1,2,2,1,0,2,288.89,4,2,1,5,"Sao Bac Bo (360m2)",35,1,"Thái Bình","Tinh Ha Giang","2_NMMA","2",2,159239,0,4,1,1,1,0,0,0,1,1,1,0,NA,0,0,0,0
"55",2,34,1186,11,1186011003,1,2,0,0,1,0,2,1,2,0,0,1,0,1,0,3,2,0,1,"Sao Bac Bo (360m2)",27.7777777777778,99,"lai","Tinh Ha Giang","2_NMMA","3",2,100801,NA,4,0,1,0,1,0,0,1,1,1,1,NA,0,0,0,0
"56",2,34,1186,11,1186011005,1,2,0,0,1,0,2,2,1,3,1,2,0,3,101.67,2,NA,1,5,"Sao Bac Bo (360m2)",61.6666666666667,1,"lúa lai","Tinh Ha Giang","2_NMMA","5",2,212453,0,3,1,1,1,0,1,0,1,0,1,0,NA,0,0,0,0
"57",2,34,1186,11,1186011006,1,2,0,1,0,0,3,2,2,3,2,2,0,3,12000,4,2,0,1,"Sao Bac Bo (360m2)",111.111111111111,99,"lúa lai","Tinh Ha Giang","2_NMMA","6",2,480923,NA,5,0,0,0,0,1,0,1,0,1,0,NA,0,0,0,0
"58",2,34,1186,11,1186011009,1,2,0,0,1,0,2,2,1,2,2,1,0,2,546.28,4,2,1,4,"Sao Trung Bo (500m2)",25.2,1,"San ưu 838","Tinh Ha Giang","2_NMMA","9",2,126337,0,2,1,1,1,0,0,0,1,1,1,0,NA,0,0,0,0
"59",2,34,1186,11,1186011010,1,2,0,0,1,0,2,2,1,2,1,2,0,2,51.67,2,NA,0,4,"Sao Bac Bo (360m2)",34.7222222222222,1,"lúa thuần","Tinh Ha Giang","2_NMMA","10",2,87026,0,4,1,1,1,1,0,0,1,0,1,0,NA,0,0,0,0
"60",2,34,1186,11,1186011011,1,2,0,1,0,0,3,2,2,3,2,2,0,3,0,3,2,0,4,"Sao Bac Bo (360m2)",27.7777777777778,99,"lúa lai","Tinh Ha Giang","2_NMMA","11",2,38159,NA,4,0,1,0,1,1,0,1,0,1,0,NA,0,0,0,0
"61",2,34,1186,11,1186011012,1,2,0,0,1,0,3,2,3,2,0,0,0,2,200,4,2,0,99,"Sao Bac Bo (360m2)",27.7777777777778,99,"lúa lai","Tinh Ha Giang","2_NMMA","12",2,40356,NA,2,0,1,0,0,0,0,1,1,1,NA,NA,0,0,0,0
"62",2,34,1186,11,1186011013,1,2,0,0,1,1,3,2,2,2,0,0,0,3,300,3,2,0,5,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa lai","Tinh Ha Giang","2_NMMA","13",2,41832,8909,4,0,0,0,0,1,0,1,1,1,NA,NA,0,0,0,0
"63",2,34,1186,11,1186011014,1,2,0,0,1,0,2,2,1,2,1,2,0,1,33.33,2,NA,1,4,"Sao Bac Bo (360m2)",35,2,"nhi ưu","Tinh Ha Giang","2_NMMA","14",2,79628,23014.5,3,0,1,0,1,0,0,1,0,1,0,NA,0,0,0,0
"64",2,34,1186,11,1186011015,1,2,0,0,1,0,2,1,1,2,1,1,0,1,27.78,2,NA,1,4,"Sao Bac Bo (360m2)",31.1111111111111,1,"thái bình","Tinh Ha Giang","2_NMMA","15",2,103320,16240,4,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,0
"65",2,34,1186,11,1186011016,1,2,0,0,1,0,3,2,2,1,1,1,0,3,300,3,2,0,1,"Sao Bac Bo (360m2)",27.7777777777778,99,"lai","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1,1,0,NA,0,0,0,0
"66",4,42,1318,9,1318009001,1,2,0,0,1,0,3,1,2,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",11.1111111111111,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,0
"67",4,42,1318,9,1318009002,1,2,0,0,1,0,3,1,2,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,0
"68",4,42,1318,9,1318009003,1,2,0,0,1,0,3,1,2,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,0
"69",4,42,1318,9,1318009004,1,2,0,0,1,0,3,2,3,1,1,1,0,1,920,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"Thái Bình","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,0,NA,0,0,0,0
"70",4,42,1318,9,1318009005,1,2,0,0,1,0,2,2,3,1,1,1,0,1,2300,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"Đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,0,NA,0,0,0,0
"71",4,42,1318,9,1318009006,1,2,0,0,1,0,2,2,3,1,1,1,0,1,920,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,2,"Thái Bình","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,1,NA,0,0,0,0
"72",4,42,1318,9,1318009007,1,2,0,0,1,0,3,2,3,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"Thái Bình","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,1,NA,0,0,0,0
"73",4,42,1318,9,1318009009,1,2,0,0,1,0,2,2,2,0,0,0,0,1,0,4,2,0,5,"Sao Bac Bo (360m2)",2.77777777777778,2,"đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"74",4,42,1318,9,1318009010,1,2,0,0,1,0,2,2,2,0,0,0,0,1,0,4,2,0,5,"Sao Bac Bo (360m2)",2.77777777777778,99,"đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"75",4,42,1318,9,1318009011,1,2,0,0,1,0,2,2,2,0,0,0,0,1,0,4,2,0,5,"Sao Bac Bo (360m2)",2.77777777777778,2,"đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"76",4,42,1318,9,1318009012,1,2,0,0,1,0,3,1,3,2,1,1,0,1,600,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,0,NA,0,0,0,0
"77",4,42,1318,9,1318009013,1,2,0,0,1,0,3,1,3,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",11.1111111111111,2,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,NA,0,0,0,0
"78",4,42,1318,9,1318009014,1,2,0,0,1,0,3,1,3,2,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,2,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,NA,0,0,0,0
"79",4,42,1318,9,1318009015,1,2,0,0,1,0,3,1,3,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,0,0,0,0
"80",4,43,1321,11,1321011002,1,3,0,0,1,0,3,1,3,0,0,0,0,1,46,5,NA,2,5,"m2",0,1,"nhị ưu","Tinh Cao Bang","2_NMMA","2",2,348192,0,3,1,1,1,1,0,0,1,1,1,NA,NA,0,0,0,0
"81",4,43,1321,11,1321011003,1,2,0,0,1,0,3,1,2,0,0,0,0,2,652,5,NA,3,1,"m2",0,1,"nhị ưu","Tinh Cao Bang","2_NMMA","3",2,33746,0,3,1,1,1,0,0,0,1,1,1,NA,NA,0,0,0,0
"82",4,43,1321,11,1321011004,1,3,0,0,1,0,3,1,3,0,0,0,0,2,360,5,NA,2,5,"m2",0,1,"838","Tinh Cao Bang","2_NMMA","4",2,77543,0,3,1,1,1,0,0,0,1,1,1,NA,NA,0,0,0,0
"83",4,43,1321,11,1321011006,1,2,0,0,1,0,2,2,2,2,1,1,0,1,150000,4,2,1,5,NA,172.413793103448,2,"tam nông","Tinh Cao Bang","2_NMMA","6",2,81889,0,3,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0
"84",4,43,1321,11,1321011007,1,2,0,0,1,0,3,2,2,0,0,0,0,1,1e+05,4,2,0,5,NA,100,3,"đoàn kết","Tinh Cao Bang","2_NMMA","7",8,49893,0,2,0,1,0,0,0,0,1,1,1,NA,NA,0,0,0,0
"85",4,43,1321,11,1321011008,1,2,0,0,1,0,2,2,2,0,0,1,0,2,202500,4,2,0,5,"Sao Bac Bo (360m2)",83.3333333333333,3,"tam nông","Tinh Cao Bang","2_NMMA","8",2,284757,0,3,0,1,0,0,0,0,1,1,1,0,NA,0,0,0,0
"86",4,43,1321,11,1321011009,1,2,1,0,0,0,2,2,2,0,0,0,0,1,1e+05,4,2,0,5,"Sao Bac Bo (360m2)",277.777777777778,3,"tam nông","Tinh Cao Bang","2_NMMA","9",2,249556,0,2,0,0,0,0,0,0,1,1,1,NA,NA,0,0,1,0
"87",4,43,1321,11,1321011010,1,2,1,0,0,0,2,2,2,0,0,0,0,1,1e+05,4,2,0,5,"Sao Bac Bo (360m2)",83.3333333333333,3,"đại dương","Tinh Cao Bang","2_NMMA","10",2,155640,111852,3,0,1,0,0,0,0,1,1,1,NA,NA,0,0,1,0
"88",4,43,1321,11,1321011011,1,2,1,0,0,0,2,2,2,1,1,0,1,2,430000,4,2,0,5,NA,84.2696629213483,3,"tam nông","Tinh Cao Bang","2_NMMA","11",2,73635,0,3,0,1,0,0,0,0,1,1,1,1,NA,0,0,1,0
"89",4,43,1321,11,1321011013,1,2,1,0,0,0,2,2,2,1,1,1,0,1,40000,4,2,0,5,NA,211.267605633803,2,"tam nông","Tinh Cao Bang","2_NMMA","13",2,66887,NA,3,0,0,0,0,0,0,1,1,1,1,NA,0,0,1,0
"90",4,47,1498,4,1498004001,1,3,1,0,1,0,3,2,2,1,1,1,0,1,200,4,2,3,1,"Sao Bac Bo (360m2)",2.77777777777778,2,"Địa phương","Tinh Cao Bang","2_NMMA","1",2,122053,0,2,0,1,0,0,0,0,1,1,1,0,NA,0,0,0,0
"91",4,47,1498,4,1498004002,1,3,1,0,1,0,3,2,2,1,1,1,0,1,200,4,2,3,1,"Sao Bac Bo (360m2)",2.77777777777778,2,"địa phương","Tinh Cao Bang","2_NMMA","2",2,44222,0,2,0,1,0,0,0,0,1,1,1,0,NA,0,0,0,0
