"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","Region","ws_rate_ha","pre_rate_ha"
"24",2,31,1006,7,2,1006007002,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",5,10,"m2",5,2,"lúa thuần",1,"2_NMMA",138.888888888889,138.888888888889
"25",2,31,1006,7,3,1006007003,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",5,6,"m2",7,2,"lúa thuần",1,"2_NMMA",138.888888888889,194.444444444444
"26",2,31,1006,7,4,1006007004,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",5,8,"m2",7,2,"lúa thuần",1,"2_NMMA",138.888888888889,194.444444444444
"27",2,31,1006,7,5,1006007005,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",5,10,"m2",5,99,"lúa thuần",1,"2_NMMA",138.888888888889,138.888888888889
"28",2,31,1006,7,6,1006007006,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",5,7,"m2",9,2,"lúa thuần",1,"2_NMMA",138.888888888889,250
"29",2,31,1006,7,8,1006007008,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",5,99,NA,NA,99,"lúa thuần",1,"2_NMMA",138.888888888889,NA
"30",2,31,1006,7,9,1006007009,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",8,8,"m2",8,3,"lúa thuần",1,"2_NMMA",222.222222222222,222.222222222222
"31",2,31,1006,7,11,1006007011,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",6,99,NA,NA,3,"lúa thuần",1,"2_NMMA",166.666666666667,NA
"32",2,31,1006,7,12,1006007012,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",6,8,"m2",7,3,"lúa thuần",1,"2_NMMA",166.666666666667,194.444444444444
"33",2,31,1006,7,13,1006007013,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",6,99,NA,NA,3,"lúa thuần",1,"2_NMMA",166.666666666667,NA
"34",2,31,1006,7,15,1006007015,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",4,99,NA,NA,3,"lúa thuần",1,"2_NMMA",111.111111111111,NA
"35",2,32,1057,1,1,1057001001,"Tinh Ha Giang",1,"m2",0,99,NA,NA,99,"o",1,"2_NMMA",0,NA
"36",2,32,1057,1,2,1057001002,"Tinh Ha Giang",1,"m2",0,0,"m2",0,99,"0",1,"2_NMMA",0,0
"37",2,32,1057,1,3,1057001003,"Tinh Ha Giang",1,"m2",0,0,"m2",0,99,"0",1,"2_NMMA",0,0
"38",2,32,1057,1,4,1057001004,"Tinh Ha Giang",99,"m2",0,99,NA,NA,99,"o",1,"2_NMMA",0,NA
"39",2,32,1057,1,5,1057001005,"Tinh Ha Giang",99,"m2",0,0,"Sao Bac Bo (360m2)",0,99,"0",1,"2_NMMA",0,0
"40",2,32,1057,1,6,1057001006,"Tinh Ha Giang",99,"m2",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"42",2,32,1057,1,8,1057001008,"Tinh Ha Giang",1,"m2",0,0,"m2",0,99,"0",1,"2_NMMA",0,0
"43",2,32,1057,1,9,1057001009,"Tinh Ha Giang",99,"m2",0,0,"m2",0,99,"0",1,"2_NMMA",0,0
"44",2,32,1057,1,10,1057001010,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"45",2,32,1057,1,11,1057001011,"Tinh Ha Giang",99,"m2",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"46",2,32,1057,1,12,1057001012,"Tinh Ha Giang",1,"m2",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"47",2,32,1057,1,13,1057001013,"Tinh Ha Giang",1,"m2",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"48",2,32,1057,1,14,1057001014,"Tinh Ha Giang",1,"m2",0,99,NA,NA,99,"0",1,"2_NMMA",0,NA
"49",2,32,1057,1,15,1057001015,"Tinh Ha Giang",1,"m2",0,0,"m2",0,99,"0",1,"2_NMMA",0,0
"50",2,34,1171,4,2,1171004002,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",7,30,NA,NA,1,"pc15",1,"2_NMMA",194.444444444444,NA
"51",2,34,1171,4,13,1171004013,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",1.5,99,NA,NA,99,"BC15",1,"2_NMMA",41.6666666666667,NA
"52",2,34,1171,4,15,1171004015,"Tinh Ha Giang",5,NA,35,99,NA,NA,1,"BC15",1,"2_NMMA",138.888888888889,NA
"53",2,34,1186,11,1,1186011001,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",1,99,NA,NA,99,"lai",1,"2_NMMA",27.7777777777778,NA
"54",2,34,1186,11,2,1186011002,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",1.26,2,"Sao Bac Bo (360m2)",1.23,1,"Thái Bình",1,"2_NMMA",35,34.1666666666667
"55",2,34,1186,11,3,1186011003,"Tinh Ha Giang",1,"Sao Bac Bo (360m2)",1,99,NA,NA,99,"lai",1,"2_NMMA",27.7777777777778,NA
"56",2,34,1186,11,5,1186011005,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",2.22,0,"Sao Bac Bo (360m2)",2.15,1,"lúa lai",1,"2_NMMA",61.6666666666667,59.7222222222222
"57",2,34,1186,11,6,1186011006,"Tinh Ha Giang",1,"Sao Bac Bo (360m2)",4,99,NA,NA,99,"lúa lai",1,"2_NMMA",111.111111111111,NA
"58",2,34,1186,11,9,1186011009,"Tinh Ha Giang",4,"Sao Trung Bo (500m2)",1.26,1,"Sao Bac Bo (360m2)",1.13,1,"San ưu 838",1,"2_NMMA",25.2,31.3888888888889
"59",2,34,1186,11,10,1186011010,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",1.25,0,"Sao Bac Bo (360m2)",1.15,1,"lúa thuần",1,"2_NMMA",34.7222222222222,31.9444444444444
"60",2,34,1186,11,11,1186011011,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",1,99,NA,NA,99,"lúa lai",1,"2_NMMA",27.7777777777778,NA
"61",2,34,1186,11,12,1186011012,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",1,99,NA,NA,99,"lúa lai",1,"2_NMMA",27.7777777777778,NA
"62",2,34,1186,11,13,1186011013,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",5,99,NA,NA,99,"lúa lai",1,"2_NMMA",138.888888888889,NA
"63",2,34,1186,11,14,1186011014,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",1.26,1,"Sao Bac Bo (360m2)",1.15,2,"nhi ưu",1,"2_NMMA",35,31.9444444444444
"64",2,34,1186,11,15,1186011015,"Tinh Ha Giang",4,"Sao Bac Bo (360m2)",1.12,0,"Sao Bac Bo (360m2)",1.13,1,"thái bình",1,"2_NMMA",31.1111111111111,31.3888888888889
"65",2,34,1186,11,16,1186011016,"Tinh Ha Giang",1,"Sao Bac Bo (360m2)",1,99,NA,NA,99,"lai",1,"2_NMMA",27.7777777777778,NA
"66",4,42,1318,9,1,1318009001,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.4,4,"m2",0.4,1,"838",1,"2_NMMA",11.1111111111111,11.1111111111111
"67",4,42,1318,9,2,1318009002,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,3,"m2",3,1,"838",1,"2_NMMA",8.33333333333333,83.3333333333333
"68",4,42,1318,9,3,1318009003,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,3,"m2",0.3,1,"838",1,"2_NMMA",8.33333333333333,8.33333333333333
"69",4,42,1318,9,4,1318009004,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,2,"m2",0.3,1,"Thái Bình",1,"2_NMMA",8.33333333333333,8.33333333333333
"70",4,42,1318,9,5,1318009005,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,3,"m2",0.4,1,"Đại thơm",1,"2_NMMA",8.33333333333333,11.1111111111111
"71",4,42,1318,9,6,1318009006,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,2,"m2",0.4,2,"Thái Bình",1,"2_NMMA",8.33333333333333,11.1111111111111
"72",4,42,1318,9,7,1318009007,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,3,"m2",0.3,1,"Thái Bình",1,"2_NMMA",8.33333333333333,8.33333333333333
"73",4,42,1318,9,9,1318009009,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.1,1,"m2",0.1,2,"đại thơm",1,"2_NMMA",2.77777777777778,2.77777777777778
"74",4,42,1318,9,10,1318009010,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.1,99,NA,NA,99,"đại thơm",1,"2_NMMA",2.77777777777778,NA
"75",4,42,1318,9,11,1318009011,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.1,1,"m2",0.1,2,"đại thơm",1,"2_NMMA",2.77777777777778,2.77777777777778
"76",4,42,1318,9,12,1318009012,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,5,"m2",0.3,1,"838",1,"2_NMMA",8.33333333333333,8.33333333333333
"77",4,42,1318,9,13,1318009013,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.4,2,"m2",0.3,2,"838",1,"2_NMMA",11.1111111111111,8.33333333333333
"78",4,42,1318,9,14,1318009014,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,2,"m2",0.3,2,"838",1,"2_NMMA",8.33333333333333,8.33333333333333
"79",4,42,1318,9,15,1318009015,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",0.3,0,"m2",0.3,1,"838",1,"2_NMMA",8.33333333333333,8.33333333333333
"80",4,43,1321,11,2,1321011002,"Tinh Cao Bang",5,"m2",0,15,"m2",0.01,1,"nhị ưu",1,"2_NMMA",0,100
"81",4,43,1321,11,3,1321011003,"Tinh Cao Bang",1,"m2",0,10,"m2",0,1,"nhị ưu",1,"2_NMMA",0,0
"82",4,43,1321,11,4,1321011004,"Tinh Cao Bang",5,"m2",0,10,"m2",0,1,"838",1,"2_NMMA",0,0
"83",4,43,1321,11,6,1321011006,"Tinh Cao Bang",5,NA,50,99,NA,NA,2,"tam nông",1,"2_NMMA",172.413793103448,NA
"84",4,43,1321,11,7,1321011007,"Tinh Cao Bang",5,NA,25,99,NA,NA,3,"đoàn kết",1,"2_NMMA",100,NA
"85",4,43,1321,11,8,1321011008,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",3,99,NA,NA,3,"tam nông",1,"2_NMMA",83.3333333333333,NA
"86",4,43,1321,11,9,1321011009,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",10,99,NA,NA,3,"tam nông",1,"2_NMMA",277.777777777778,NA
"87",4,43,1321,11,10,1321011010,"Tinh Cao Bang",5,"Sao Bac Bo (360m2)",3,99,NA,NA,3,"đại dương",1,"2_NMMA",83.3333333333333,NA
"88",4,43,1321,11,11,1321011011,"Tinh Cao Bang",5,NA,15,99,NA,NA,3,"tam nông",1,"2_NMMA",84.2696629213483,NA
"89",4,43,1321,11,13,1321011013,"Tinh Cao Bang",5,NA,15,99,NA,NA,2,"tam nông",1,"2_NMMA",211.267605633803,NA
"90",4,47,1498,4,1,1498004001,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",0.1,99,NA,NA,2,"Địa phương",1,"2_NMMA",2.77777777777778,NA
"91",4,47,1498,4,2,1498004002,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",0.1,99,NA,NA,2,"địa phương",1,"2_NMMA",2.77777777777778,NA
"93",4,47,1498,4,4,1498004004,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",8,99,NA,NA,2,"31",1,"2_NMMA",222.222222222222,NA
"94",4,47,1498,4,5,1498004005,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",8,2,"m2",11,2,"31",1,"2_NMMA",222.222222222222,NA
"95",4,47,1498,4,6,1498004006,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",1,8,"m2",8,3,"địa phương tự để giống",1,"2_NMMA",27.7777777777778,222.222222222222
"96",4,47,1498,4,7,1498004007,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",9,1,"m2",9,2,"Nhị ưu 838",1,"2_NMMA",250,250
"97",4,47,1498,4,8,1498004008,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",1,99,NA,NA,2,"tẻ lai 31",1,"2_NMMA",27.7777777777778,NA
"98",4,47,1498,4,9,1498004009,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",2,99,NA,NA,1,"tẻ lai",1,"2_NMMA",55.5555555555556,NA
"99",4,47,1498,4,10,1498004010,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",1.5,3,"m2",1.5,1,"tẻ lai 31",1,"2_NMMA",41.6666666666667,41.6666666666667
"100",4,47,1498,4,11,1498004011,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",3,4,"m2",3,1,"tẻ lai 31",1,"2_NMMA",83.3333333333333,83.3333333333333
"102",4,47,1498,4,13,1498004013,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",2,3,"m2",2,2,"31",1,"2_NMMA",55.5555555555556,55.5555555555556
"103",4,47,1498,4,14,1498004014,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",2,99,NA,NA,1,"tẻ lai 31",1,"2_NMMA",55.5555555555556,NA
"104",4,47,1498,4,16,1498004016,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",9,2,"m2",9,2,"31",1,"2_NMMA",250,250
"105",4,48,1537,4,1,1537004001,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",5,3,"m2",5,1,"Q63",1,"2_NMMA",138.888888888889,138.888888888889
"106",4,48,1537,4,2,1537004002,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",4,2,"m2",4,1,"Q63",1,"2_NMMA",111.111111111111,111.111111111111
"107",4,48,1537,4,3,1537004003,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",6,2,"m2",6,1,"gs55",1,"2_NMMA",166.666666666667,166.666666666667
"108",4,48,1537,4,5,1537004005,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",5,2,"m2",5,1,"Q63",1,"2_NMMA",138.888888888889,138.888888888889
"109",4,48,1537,4,6,1537004006,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",6,2,"m2",6,1,"Q63",1,"2_NMMA",166.666666666667,166.666666666667
"110",4,48,1537,4,10,1537004010,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",8,2,"m2",8,1,"Q63",1,"2_NMMA",222.222222222222,222.222222222222
"111",4,48,1537,4,11,1537004011,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",5,2,"m2",5,1,"GS55",1,"2_NMMA",138.888888888889,138.888888888889
"112",4,48,1537,4,13,1537004013,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",6,3,"m2",6,1,"GS55",1,"2_NMMA",166.666666666667,166.666666666667
"113",4,48,1537,4,14,1537004014,"Tinh Cao Bang",6,"Sao Bac Bo (360m2)",3,2,"m2",3,1,"Q63",1,"2_NMMA",83.3333333333333,83.3333333333333
"114",4,48,1537,4,15,1537004015,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",3,2,"m2",4,1,"GS55",1,"2_NMMA",83.3333333333333,111.111111111111
"115",4,51,1666,3,1,1666003001,"Tinh Cao Bang",1,NA,20,3,"m2",25,3,"Đoàn kết",1,"2_NMMA",200,NA
"116",4,51,1666,3,2,1666003002,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",10,99,NA,NA,99,"o",1,"2_NMMA",277.777777777778,NA
"117",4,51,1666,3,3,1666003003,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",2,2,"m2",2,2,"Đoàn kết",1,"2_NMMA",55.5555555555556,55.5555555555556
"119",4,51,1666,3,5,1666003005,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",6,3,"m2",6,3,"Thái lùn",1,"2_NMMA",166.666666666667,166.666666666667
"120",4,51,1666,3,6,1666003006,"Tinh Cao Bang",99,NA,30,99,NA,NA,2,"Đoàn kết",1,"2_NMMA",181.818181818182,NA
"121",4,51,1666,3,7,1666003007,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",1,2,"m2",1,3,"Đoàn kết",1,"2_NMMA",27.7777777777778,27.7777777777778
"123",4,51,1666,3,9,1666003009,"Tinh Cao Bang",1,NA,25,2,"m2",25,3,"Đoàn kết",1,"2_NMMA",294.117647058824,NA
"124",4,51,1666,3,10,1666003010,"Tinh Cao Bang",1,NA,45,2,"m2",45,3,NA,1,"2_NMMA",180,NA
"125",4,51,1666,3,11,1666003011,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",1,2,"m2",1,2,"Đoàn kết",1,"2_NMMA",27.7777777777778,27.7777777777778
"126",4,51,1666,3,13,1666003013,"Tinh Cao Bang",1,NA,18,0,"m2",3,2,"Đoàn kết",1,"2_NMMA",150,NA
"127",4,51,1666,3,14,1666003014,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",0.8,3,"m2",0.8,2,"Đoàn kết",1,"2_NMMA",22.2222222222222,22.2222222222222
"129",4,51,1699,4,1,1699004001,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",7,1,"m2",7,1,"GS55",1,"2_NMMA",194.444444444444,194.444444444444
"130",4,51,1699,4,2,1699004002,"Tinh Cao Bang",1,NA,40,40,NA,NA,1,"Đoàn kêt",1,"2_NMMA",200,NA
"132",4,51,1699,4,5,1699004005,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",6,2,"m2",6,1,"Đoàn kết",1,"2_NMMA",166.666666666667,166.666666666667
"133",4,51,1699,4,6,1699004006,"Tinh Cao Bang",99,NA,20,20,NA,NA,1,"Đoàn kết",1,"2_NMMA",180.18018018018,NA
"134",4,51,1699,4,7,1699004007,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",2,2,"m2",2,3,"Đoàn kết",1,"2_NMMA",55.5555555555556,55.5555555555556
"136",4,51,1699,4,9,1699004009,"Tinh Cao Bang",1,NA,25,3,"m2",25,3,"Đoàn kết",1,"2_NMMA",125,NA
"137",4,51,1699,4,10,1699004010,"Tinh Cao Bang",1,NA,20,99,NA,NA,2,"đoàn kết",1,"2_NMMA",181.818181818182,NA
"138",4,51,1699,4,13,1699004013,"Tinh Cao Bang",1,"Sao Bac Bo (360m2)",4,2,"m2",2,1,"0",1,"2_NMMA",111.111111111111,55.5555555555556
"139",4,40,1705,13,1,1705013001,"Tinh Cao Bang",4,"Sao Nam Bo/Cong Nha nuoc (1000m2)",7,3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",7,1,"Bắc thơm số 7",1,"2_NMMA",70,70
"140",4,40,1705,13,2,1705013002,"Tinh Cao Bang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",5,2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,2,"RS225",1,"2_NMMA",50,60
"141",4,40,1705,13,3,1705013003,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,8,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Tam nông",1,"2_NMMA",80,80
"142",4,40,1705,13,4,1705013004,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,4,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Tam nông",1,"2_NMMA",80,80
"143",4,40,1705,13,5,1705013005,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,8,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Tam nông",1,"2_NMMA",80,80
"144",4,40,1705,13,7,1705013007,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Khang dân",1,"2_NMMA",80,80
"145",4,40,1705,13,8,1705013008,"Tinh Cao Bang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,1,"Hana số 7",1,"2_NMMA",60,60
"146",4,40,1705,13,9,1705013009,"Tinh Cao Bang",4,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,1,"Tam nông",1,"2_NMMA",60,60
"147",4,40,1705,13,12,1705013012,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",9,8,"Sao Nam Bo/Cong Nha nuoc (1000m2)",9,2,"Tam nông",1,"2_NMMA",90,90
"148",4,40,1705,13,13,1705013013,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Tam nông",1,"2_NMMA",80,80
"149",4,40,1705,13,14,1705013014,"Tinh Cao Bang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,2,"Tam nông",1,"2_NMMA",80,80
"150",4,40,1705,13,15,1705013015,"Tinh Cao Bang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",6,1,"CXT30",1,"2_NMMA",60,60
"152",6,58,1849,5,1,1849005001,"Tinh Bac Kan",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",1,3,"m2",2,3,"Bắc Hương",1,"2_NMMA",10,20
"153",6,58,1849,5,2,1849005002,"Tinh Bac Kan",4,"Sao Nam Bo/Cong Nha nuoc (1000m2)",4,2,"m2",4,1,"Bắc Hương",1,"2_NMMA",40,40
"154",6,58,1849,5,4,1849005004,"Tinh Bac Kan",4,"Sao Nam Bo/Cong Nha nuoc (1000m2)",2,2,"m2",3,2,"Khang dân",1,"2_NMMA",20,30
"155",6,58,1849,5,5,1849005005,"Tinh Bac Kan",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",1,2,"m2",1,1,"Khang dân",1,"2_NMMA",10,10
"156",6,58,1849,5,6,1849005006,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",5,3,"m2",8,2,"giống thuần",1,"2_NMMA",50,80
"157",6,58,1849,5,7,1849005007,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",4,2,"m2",5,1,"giống lai",1,"2_NMMA",40,50
"158",6,58,1849,5,9,1849005009,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,99,NA,NA,2,"giống lai",1,"2_NMMA",80,NA
"159",6,58,1849,5,10,1849005010,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",4,5,"m2",4,2,"giống lai",1,"2_NMMA",40,40
"160",6,58,1849,5,12,1849005012,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",10,10,"m2",20,1,"khang dân",1,"2_NMMA",100,200
"161",6,58,1849,5,13,1849005013,"Tinh Bac Kan",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",10,99,NA,NA,1,"khang dân",1,"2_NMMA",100,NA
"162",6,61,1912,7,1,1912007001,"Tinh Bac Kan",1,"Sao Bac Bo (360m2)",1,1,"Sao Bac Bo (360m2)",4,1,"thái bình",1,"2_NMMA",27.7777777777778,111.111111111111
"163",6,61,1912,7,2,1912007002,"Tinh Bac Kan",1,"Sao Trung Bo (500m2)",5,3,"Sao Trung Bo (500m2)",5,3,"thái bình",1,"2_NMMA",100,100
"164",6,61,1912,7,3,1912007003,"Tinh Bac Kan",1,"Sao Bac Bo (360m2)",3,3,"Sao Bac Bo (360m2)",4,2,"đoàn kết",1,"2_NMMA",83.3333333333333,111.111111111111
"165",6,61,1912,7,4,1912007004,"Tinh Bac Kan",1,"Sao Bac Bo (360m2)",1,1,"Sao Bac Bo (360m2)",3,1,"thái bình",1,"2_NMMA",27.7777777777778,83.3333333333333
"166",6,61,1912,7,5,1912007005,"Tinh Bac Kan",1,"Sao Bac Bo (360m2)",4,2,"Sao Bac Bo (360m2)",4,3,"thái bình",1,"2_NMMA",111.111111111111,111.111111111111
