"IDHO","HOSO","MATINH","MAHUYEN","MAXA","MADIABAN","ethnic","THUNHAP","TONGCHITIEU","rls_head","age","edu_grade","KYDIEUTRA","n_member","male","female","internet","land_area_sum","poor_commune","dummy_main_str","dist_main_str","type_main_str","dummy_local_market_wholesale","dist_market_wholesale","dummy_irrigation","dist_irrigation","farmer_participation_pct","dummy_protection_staff","panel","main_str_asphalt"
"00706007002","002","02","030","00706","007",1,79596,NA,1,50,9,9,3,1,0,1,6900,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007003","003","02","030","00706","007",1,100581,0,1,33,9,9,3,1,0,1,2300,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007004","004","02","030","00706","007",1,128039,0,1,48,9,9,5,1,0,1,4300,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007005","005","02","030","00706","007",0,40320,0,1,61,2,9,2,0,1,0,22800,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007006","006","02","030","00706","007",1,40346,NA,1,54,12,9,2,1,0,1,8800,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007007","007","02","030","00706","007",1,88943,NA,1,35,9,9,4,1,0,1,9400,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007008","008","02","030","00706","007",1,140820,NA,1,39,5,9,5,1,0,1,11400,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007009","009","02","030","00706","007",1,184076,0,1,52,6,9,5,1,0,1,14000,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007010","010","02","030","00706","007",1,140296,NA,1,55,5,9,3,0,1,0,8400,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007011","011","02","030","00706","007",1,93709,NA,1,52,5,9,3,1,0,1,12000,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007012","012","02","030","00706","007",1,123258,0,1,44,12,9,3,1,0,1,3800,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007013","013","02","030","00706","007",1,85466,44110,1,36,9,9,6,1,0,1,15400,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00706007014","014","02","030","00706","007",0,56576,47496,1,56,9,9,2,1,0,1,12400,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00709001001","001","02","030","00709","001",1,86147,NA,1,59,5,12,3,1,0,0,6800,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001002","002","02","030","00709","001",1,97739,NA,1,47,5,12,3,1,0,0,12500,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001003","003","02","030","00709","001",1,85859,NA,1,57,6,12,5,1,0,0,7800,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001004","004","02","030","00709","001",1,77472,NA,1,56,6,12,6,1,0,0,14300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001005","005","02","030","00709","001",1,107568,0,1,53,6,12,6,1,0,0,27300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001006","006","02","030","00709","001",1,109199,NA,1,57,6,12,5,1,0,0,17100,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001007","007","02","030","00709","001",1,72863,NA,1,48,5,12,3,1,0,0,22808,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001008","008","02","030","00709","001",1,16871,NA,1,30,9,12,2,1,0,1,7400,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001009","009","02","030","00709","001",1,135211,0,1,46,12,12,4,1,0,1,27300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001010","010","02","030","00709","001",1,44112,NA,1,55,3,12,4,1,0,1,24800,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001011","011","02","030","00709","001",1,139981,NA,1,42,NA,12,5,1,0,1,22300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001012","012","02","030","00709","001",1,41328,NA,1,51,NA,12,4,1,0,0,33300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001013","013","02","030","00709","001",1,80892,39507,1,58,3,12,3,1,0,0,17100,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001014","014","02","030","00709","001",1,228741,72863.5,1,38,12,12,6,1,0,1,23300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00709001015","015","02","030","00709","001",1,167832,70386.5,1,47,9,12,6,1,0,1,17300,1,1,NA,2,0,0,0,12,NA,1,"2022 (n = 13939)",0
"00712003002","002","02","026","00712","003",1,49729,NA,1,35,9,9,4,1,0,1,2260,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00712003003","003","02","026","00712","003",1,132132,NA,1,50,3,9,7,1,0,1,12520,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00712003004","004","02","026","00712","003",1,27000,NA,1,65,NA,9,3,1,0,0,7200,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00712003005","005","02","026","00712","003",1,98856,NA,1,60,NA,9,6,1,0,1,3440,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00712003012","012","02","026","00712","003",1,79872,NA,1,41,12,9,4,1,0,1,2970,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00712003013","013","02","026","00712","003",1,116592,61080,1,64,NA,9,7,1,0,1,4060,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00724002006","006","02","026","00724","002",1,84600,0,1,46,2,2,6,1,0,0,11290,1,1,NA,2,0,12,0,19,NA,0,"2022 (n = 13939)",0
"00724002012","012","02","026","00724","002",1,133716,0,1,57,NA,2,11,1,0,0,11940,1,1,NA,2,0,12,0,19,NA,0,"2022 (n = 13939)",0
"00724002015","015","02","026","00724","002",1,68520,53890,1,71,4,2,5,1,0,0,5970,1,1,NA,2,0,12,0,19,NA,0,"2022 (n = 13939)",0
"00820021005","005","02","028","00820","021",1,99120,0,1,56,6,1,4,1,0,0,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00820021009","009","02","028","00820","021",1,359232,0,1,77,0,1,8,1,0,0,2000,NA,NA,NA,NA,NA,5,NA,5,NA,NA,"2022 (n = 13939)",NA
"00844012003","003","02","028","00844","012",1,89904,NA,1,26,9,6,4,1,0,1,5349,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012005","005","02","028","00844","012",1,90899,0,1,38,12,6,5,1,0,1,11648,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012006","006","02","028","00844","012",1,47856,NA,1,24,12,6,4,1,0,1,10363,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012007","007","02","028","00844","012",1,56782,NA,1,32,9,6,7,1,0,1,9739,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012008","008","02","028","00844","012",1,98281,0,1,36,1,6,6,1,0,0,11431,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012009","009","02","028","00844","012",1,49920,0,1,32,0,6,5,1,0,1,4587,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012010","010","02","028","00844","012",1,82922,0,1,42,4,6,5,1,0,0,12885,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012011","011","02","028","00844","012",1,55727,NA,1,66,0,6,9,1,0,0,13636,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012012","012","02","028","00844","012",1,140399,0,1,62,0,6,10,1,0,0,25700,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012013","013","02","028","00844","012",1,102718,39588.5,1,43,0,6,10,1,0,0,16247,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00844012015","015","02","028","00844","012",1,92305,37777,1,45,0,6,6,1,0,1,12885,1,1,NA,2,0,10,0,10,NA,0,"2022 (n = 13939)",0
"00847007001","001","02","028","00847","007",1,294839,0,1,73,9,10,10,1,0,1,16590,0,1,NA,1,0,1,0,15,NA,1,"2022 (n = 13939)",1
"00847007006","006","02","028","00847","007",1,102839,0,1,58,NA,10,5,1,0,0,NA,0,1,NA,1,0,1,0,15,NA,1,"2022 (n = 13939)",1
"00847007009","009","02","028","00847","007",1,82368,NA,1,43,2,10,6,1,0,0,NA,0,1,NA,1,0,1,0,15,NA,1,"2022 (n = 13939)",1
"00847007010","010","02","028","00847","007",1,47630,NA,1,69,NA,10,9,1,0,0,NA,0,1,NA,1,0,1,0,15,NA,1,"2022 (n = 13939)",1
"00859018001","001","02","028","00859","018",1,76920,0,1,37,9,9,5,1,0,1,12098,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018002","002","02","028","00859","018",1,69118,NA,1,39,5,9,5,1,0,1,9475,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018003","003","02","028","00859","018",1,34608,0,1,48,NA,9,4,1,0,0,14949,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018004","004","02","028","00859","018",1,72791,NA,1,30,9,9,6,1,0,0,14422,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018006","006","02","028","00859","018",1,58752,0,1,61,NA,9,4,1,0,0,14720,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018007","007","02","028","00859","018",1,58078,0,1,53,NA,9,10,1,0,0,17002,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018008","008","02","028","00859","018",1,65341,NA,1,43,NA,9,5,1,0,0,16832,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018009","009","02","028","00859","018",1,86975,0,1,44,NA,9,6,1,0,0,14949,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018011","011","02","028","00859","018",1,48239,0,1,27,3,9,6,1,0,0,15388,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018012","012","02","028","00859","018",1,103778,NA,1,64,NA,9,8,1,0,0,15895,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018013","013","02","028","00859","018",1,118799,48940.5,1,33,2,9,10,1,0,0,15890,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018014","014","02","028","00859","018",1,70058,41755,1,33,NA,9,7,1,0,0,12475,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00859018015","015","02","028","00859","018",1,49775,48597,1,51,NA,9,4,0,1,0,15060,1,1,NA,1,0,1,0,0,NA,0,"2022 (n = 13939)",1
"00898003002","002","02","029","00898","003",1,106679,0,1,50,6,10,5,1,0,0,20400,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003003","003","02","029","00898","003",1,102312,112632.5,1,48,4,10,3,1,0,1,20160,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003004","004","02","029","00898","003",1,185872,0,1,50,4,10,3,1,0,1,NA,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003005","005","02","029","00898","003",1,72144,NA,1,55,7,10,4,1,0,1,20020,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003006","006","02","029","00898","003",1,38952,0,1,58,5,10,2,0,1,1,17860,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003007","007","02","029","00898","003",1,219541,NA,1,75,NA,10,5,0,1,0,20800,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003008","008","02","029","00898","003",1,129889,0,1,47,12,10,2,1,0,1,17900,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003009","009","02","029","00898","003",1,126287,0,1,46,6,10,6,1,0,0,18600,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003010","010","02","029","00898","003",1,99780,NA,1,47,5,10,5,1,0,1,20050,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003011","011","02","029","00898","003",1,56832,0,1,59,2,10,4,1,0,0,18050,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003012","012","02","029","00898","003",1,235203,96753.5,1,60,6,10,5,0,1,1,19260,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003013","013","02","029","00898","003",1,68041,NA,1,48,5,10,6,1,0,1,950,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00898003015","015","02","029","00898","003",1,39744,68155.5,1,51,7,10,4,1,0,1,20180,1,1,NA,1,0,50,1,5,50,0,"2022 (n = 13939)",1
"00925009001","001","02","030","00925","009",1,101616,NA,1,40,NA,3,4,1,0,1,7100,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009002","002","02","030","00925","009",1,83665,NA,1,55,NA,3,6,1,0,0,11400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009003","003","02","030","00925","009",1,31848,NA,1,37,NA,3,1,1,0,1,2000,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009004","004","02","030","00925","009",1,396868,0,1,45,4,3,8,1,0,1,23000,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009005","005","02","030","00925","009",1,20123,NA,1,30,7,3,3,1,0,1,2400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009006","006","02","030","00925","009",1,78238,NA,1,57,4,3,5,0,1,0,3900,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009007","007","02","030","00925","009",1,65207,0,1,45,2,3,2,1,0,0,5200,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009008","008","02","030","00925","009",1,111649,NA,1,26,9,3,4,0,1,1,1300,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009009","009","02","030","00925","009",1,163101,0,1,55,9,3,8,1,0,0,14400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009010","010","02","030","00925","009",1,124468,0,1,38,8,3,4,1,0,1,1300,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009011","011","02","030","00925","009",1,176401,NA,1,53,4,3,3,0,1,0,3400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009012","012","02","030","00925","009",1,94368,NA,1,39,9,3,4,1,0,1,3400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009013","013","02","030","00925","009",1,105120,45337.5,1,46,5,3,5,1,0,1,1300,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009014","014","02","030","00925","009",1,102121,60774,1,36,9,3,5,1,0,1,1300,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00925009015","015","02","030","00925","009",1,164162,60699,1,58,9,3,6,1,0,1,14400,0,1,NA,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
"00979012001","001","02","030","00979","012",1,45300,NA,1,32,7,12,5,1,0,1,13360,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012002","002","02","030","00979","012",1,37920,NA,1,35,9,12,4,1,0,1,11750,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012003","003","02","030","00979","012",1,42841,46170.5,1,61,0,12,2,0,1,0,33770,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012004","004","02","030","00979","012",1,57791,NA,1,58,NA,12,7,1,0,0,13000,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012005","005","02","030","00979","012",1,53459,NA,1,49,6,12,3,1,0,1,42410,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012006","006","02","030","00979","012",1,36430,NA,1,44,0,12,4,1,0,0,20020,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012007","007","02","030","00979","012",1,147380,0,1,55,3,12,6,1,0,0,26520,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012008","008","02","030","00979","012",0,137700,75263,1,61,NA,12,5,0,1,0,31480,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012009","009","02","030","00979","012",1,222484,0,1,36,4,12,5,1,0,1,6000,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012010","010","02","030","00979","012",1,36241,NA,1,51,5,12,1,1,0,1,10800,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012011","011","02","030","00979","012",1,141504,NA,1,65,9,12,4,1,0,0,72000,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012012","012","02","030","00979","012",1,95809,NA,1,62,5,12,4,1,0,0,68400,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012013","013","02","030","00979","012",1,27503,31774.5,1,37,0,12,4,1,0,0,20340,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012015","015","02","030","00979","012",1,35581,NA,1,35,9,12,5,1,0,0,28000,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
"00979012018","018","02","030","00979","012",1,62879,NA,1,55,3,12,5,1,0,0,22780,0,1,NA,2,0,10,0,18,NA,1,"2022 (n = 13939)",0
