"","IDHO","HOSO","MATINH","MAHUYEN","MAXA","MADIABAN","DANTOCCHUHO","THUNHAP","TONGCHITIEU","ethnic","rls_head","age","edu_grade","KYDIEUTRA","n_member","male","female","internet","land_area_1","land_area_2","land_area_5","land_area_7","land_area_4","land_area_3","land_area_6","land_area_sum","land_ha","poor_commune","dummy_main_str","dist_main_str","type_main_str","disease_1","disease_2","disease_3","road","road_cement_asphalt","road_dirt_earth","road_gravel","road_tar_on_gravel","dummy_local_market_daily","dummy_local_market_periodic","dummy_local_market_wholesale","dist_market_daily","dist_market_periodic","dist_market_wholesale","dummy_irrigation","dist_irrigation","dummy_protection_staff","irrigation_info_1","irrigation_info_2","irrigation_info_3","farmer_participation_pct","ag_challenge_1","ag_challenge_2","ag_challenge_3","panel"
"12","00400011008","008","01","016","00400","011",1,62495,NA,0,1,62,9,5,2,1,0,0,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,6,11,"cement_asphalt",1,0,0,0,1,0,0,NA,1,2,1,NA,1,1,2,3,100,1,3,NA,"2022 (n = 13885)"
"13","00400011012","012","01","016","00400","011",1,57717,NA,0,1,61,9,5,5,1,0,0,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,6,11,"cement_asphalt",1,0,0,0,1,0,0,NA,1,2,1,NA,1,1,2,3,100,1,3,NA,"2022 (n = 13885)"
"14","00415003003","003","01","016","00415","003",1,186409,NA,0,1,56,9,7,6,1,0,1,1620,NA,NA,NA,NA,NA,NA,1620,0.162,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"15","00415003004","004","01","016","00415","003",1,39883,NA,0,1,58,9,7,4,0,1,0,552,NA,NA,NA,NA,NA,NA,552,0.0552,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"16","00415003005","005","01","016","00415","003",1,29378,NA,0,1,65,9,7,3,1,0,1,1560,300,NA,NA,NA,NA,NA,1860,0.186,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"17","00415003006","006","01","016","00415","003",1,243540,NA,0,1,67,5,7,5,1,0,0,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"18","00415003007","007","01","016","00415","003",1,148320,NA,0,1,62,9,7,5,0,1,0,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"19","00415003009","009","01","016","00415","003",1,273962,NA,0,1,36,9,7,5,1,0,1,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"20","00415003014","014","01","016","00415","003",1,155998,195811.5,0,1,27,12,7,5,1,0,1,720,NA,NA,NA,NA,NA,NA,720,0.072,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"21","00415003015","015","01","016","00415","003",1,367485,118186,0,1,48,8,7,4,1,0,1,540,NA,NA,NA,NA,NA,NA,540,0.054,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"22","00415003017","017","01","016","00415","003",1,809027,NA,0,1,54,9,7,9,1,0,1,1800,NA,NA,NA,NA,NA,NA,1800,0.18,0,1,NA,1,5,13,NA,"cement_asphalt",1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,4,2,100,1,4,3,"2022 (n = 13885)"
"23","00433007001","001","01","016","00433","007",1,277199,0,0,1,50,12,2,5,0,1,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"24","00433007003","003","01","016","00433","007",1,112753,0,0,1,46,9,2,4,1,0,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"25","00433007004","004","01","016","00433","007",1,324503,0,0,1,66,6,2,6,1,0,1,2880,NA,NA,NA,NA,NA,NA,2880,0.288,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"26","00433007005","005","01","016","00433","007",1,227221,0,0,1,35,9,2,5,1,0,1,2880,552,NA,NA,NA,NA,NA,3432,0.3432,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"27","00433007008","008","01","016","00433","007",1,92304,0,0,1,67,6,2,2,1,0,1,850,NA,500,NA,NA,NA,NA,1350,0.135,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"28","00433007009","009","01","016","00433","007",1,222958,0,0,1,47,12,2,5,1,0,1,360,NA,NA,NA,NA,NA,NA,360,0.036,0,1,NA,1,11,5,14,"cement_asphalt",1,0,0,0,1,0,0,NA,1,5,1,NA,1,1,2,4,95,1,2,4,"2022 (n = 13885)"
"29","00460011001","001","01","017","00460","011",1,427309,NA,0,1,76,12,10,7,1,0,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"30","00460011002","002","01","017","00460","011",1,364567,NA,0,1,68,9,10,7,1,0,1,1980,NA,NA,NA,NA,NA,NA,1980,0.198,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"31","00460011005","005","01","017","00460","011",1,273056,NA,0,1,54,5,10,3,1,0,1,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"32","00460011006","006","01","017","00460","011",1,332713,NA,0,1,69,5,10,6,1,0,1,1800,NA,NA,NA,NA,NA,NA,1800,0.18,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"33","00460011008","008","01","017","00460","011",1,231889,NA,0,1,38,12,10,4,1,0,1,900,NA,NA,NA,NA,NA,NA,900,0.09,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"34","00460011010","010","01","017","00460","011",1,160489,NA,0,1,36,12,10,6,0,1,1,720,NA,NA,NA,NA,NA,NA,720,0.072,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"35","00460011012","012","01","017","00460","011",1,557565,NA,0,1,59,9,10,6,1,0,1,950,NA,NA,NA,NA,NA,NA,950,0.095,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"36","00460011013","013","01","017","00460","011",1,358012,215608,0,1,74,9,10,7,1,0,1,1620,NA,NA,NA,NA,NA,NA,1620,0.162,0,1,NA,1,13,5,14,"cement_asphalt",1,0,0,0,0,0,0,1,1,8,0,9,1,NA,NA,NA,NA,1,5,4,"2022 (n = 13885)"
"37","00484026001","001","01","017","00484","026",1,78907,0,0,1,57,8,1,5,0,1,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,5,6,NA,"cement_asphalt",1,0,0,0,0,1,0,0.1,NA,0.1,0,10,1,NA,NA,NA,NA,7,8,5,"2022 (n = 13885)"
"38","00484026003","003","01","017","00484","026",1,190753,0,0,1,67,12,1,2,1,0,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,5,6,NA,"cement_asphalt",1,0,0,0,0,1,0,0.1,NA,0.1,0,10,1,NA,NA,NA,NA,7,8,5,"2022 (n = 13885)"
"39","00484026004","004","01","017","00484","026",1,130108,0,0,1,62,9,1,2,1,0,1,1620,NA,NA,NA,NA,NA,NA,1620,0.162,0,1,NA,1,5,6,NA,"cement_asphalt",1,0,0,0,0,1,0,0.1,NA,0.1,0,10,1,NA,NA,NA,NA,7,8,5,"2022 (n = 13885)"
"40","00484026006","006","01","017","00484","026",1,140760,0,0,1,39,9,1,6,1,0,1,1260,NA,NA,NA,NA,NA,NA,1260,0.126,0,1,NA,1,5,6,NA,"cement_asphalt",1,0,0,0,0,1,0,0.1,NA,0.1,0,10,1,NA,NA,NA,NA,7,8,5,"2022 (n = 13885)"
"41","00484026014","014","01","017","00484","026",1,183941,142984,0,1,48,4,1,4,1,0,1,360,NA,NA,NA,NA,NA,NA,360,0.036,0,1,NA,1,5,6,NA,"cement_asphalt",1,0,0,0,0,1,0,0.1,NA,0.1,0,10,1,NA,NA,NA,NA,7,8,5,"2022 (n = 13885)"
"42","00499025001","001","01","017","00499","025",1,433192,NA,0,1,55,9,12,7,0,1,0,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,2,3,0,10,1,NA,NA,NA,NA,4,1,3,"2022 (n = 13885)"
"43","00499025002","002","01","017","00499","025",1,255421,NA,0,1,59,9,12,3,0,1,0,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,2,3,0,10,1,NA,NA,NA,NA,4,1,3,"2022 (n = 13885)"
"44","00499025011","011","01","017","00499","025",1,78588,NA,0,1,65,5,12,3,0,1,0,2520,NA,NA,NA,NA,NA,NA,2520,0.252,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,2,3,0,10,1,NA,NA,NA,NA,4,1,3,"2022 (n = 13885)"
"45","00508034001","001","01","017","00508","034",1,312901,NA,0,1,66,12,5,7,1,0,1,2160,NA,NA,NA,NA,NA,NA,2160,0.216,0,1,NA,1,5,6,13,"cement_asphalt",1,0,0,0,1,0,1,NA,1.5,NA,0,7,1,NA,NA,NA,NA,1,5,10,"2022 (n = 13885)"
"46","00529008001","001","01","018","00529","008",1,243216,0,0,1,47,9,6,4,1,0,1,1150,NA,NA,NA,NA,NA,NA,1150,0.115,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"47","00529008002","002","01","018","00529","008",1,224976,0,0,1,34,9,6,4,1,0,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"48","00529008004","004","01","018","00529","008",1,199007,0,0,1,37,9,6,4,1,0,1,576,NA,NA,NA,NA,NA,NA,576,0.0576,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"49","00529008005","005","01","018","00529","008",1,165265,0,0,1,55,9,6,2,0,1,0,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"50","00529008007","007","01","018","00529","008",1,355537,0,0,1,44,9,6,6,1,0,1,720,NA,NA,NA,NA,NA,NA,720,0.072,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"51","00529008008","008","01","018","00529","008",1,502059,0,0,1,31,9,6,6,1,0,1,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"52","00529008010","010","01","018","00529","008",1,585690,0,0,1,43,7,6,4,1,0,1,720,NA,NA,NA,NA,NA,NA,720,0.072,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"53","00529008011","011","01","018","00529","008",1,108672,0,0,1,60,4,6,2,0,1,0,720,NA,NA,NA,NA,NA,NA,720,0.072,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"54","00529008014","014","01","018","00529","008",1,216817,184805,0,1,50,9,6,4,1,0,1,36000,NA,NA,NA,NA,NA,NA,36000,3.6,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"55","00529008015","015","01","018","00529","008",1,492674,152773.5,0,1,26,10,6,8,1,0,1,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,5,13,1,"cement_asphalt",1,0,0,0,1,0,0,NA,-1,4,0,12,1,NA,NA,NA,NA,4,8,5,"2022 (n = 13885)"
"56","00553021006","006","01","018","00553","021",1,186983,0,0,1,73,9,8,6,1,0,1,2160,NA,NA,NA,NA,NA,NA,2160,0.216,0,1,NA,1,5,6,16,"cement_asphalt",1,0,0,0,0,0,0,1,15,10,1,NA,1,1,4,2,21,8,2,4,"2022 (n = 13885)"
"57","00568006009","009","01","018","00568","006",1,118801,0,0,1,48,9,10,4,1,0,1,300,NA,NA,NA,NA,NA,NA,300,0.03,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,1,1,0,8,1,NA,NA,NA,NA,3,5,2,"2022 (n = 13885)"
"58","00568006010","010","01","018","00568","006",1,415039,0,0,1,74,6,10,7,1,0,1,1680,NA,NA,NA,4392,NA,NA,6072,0.6072,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,1,1,0,8,1,NA,NA,NA,NA,3,5,2,"2022 (n = 13885)"
"59","00568006013","013","01","018","00568","006",1,169341,72684,0,1,59,9,10,3,0,1,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,13,5,6,"cement_asphalt",1,0,0,0,1,0,0,NA,1,1,0,8,1,NA,NA,NA,NA,3,5,2,"2022 (n = 13885)"
"60","00706007001","001","02","030","00706","007",2,51000,NA,1,1,35,9,9,5,1,0,1,6500,NA,300,NA,NA,5000,NA,11800,1.18,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"61","00706007002","002","02","030","00706","007",2,79596,NA,1,1,50,9,9,3,1,0,1,3000,NA,300,NA,NA,3600,NA,6900,0.69,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"62","00706007003","003","02","030","00706","007",2,100581,0,1,1,33,9,9,3,1,0,1,2000,NA,300,NA,NA,NA,NA,2300,0.23,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"63","00706007004","004","02","030","00706","007",2,128039,0,1,1,48,9,9,5,1,0,1,4000,NA,300,NA,NA,NA,NA,4300,0.43,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"64","00706007005","005","02","030","00706","007",1,40320,0,0,1,61,2,9,2,0,1,0,2500,NA,300,NA,NA,20000,NA,22800,2.28,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"65","00706007006","006","02","030","00706","007",2,40346,NA,1,1,54,12,9,2,1,0,1,2500,NA,300,NA,NA,6000,NA,8800,0.88,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"66","00706007007","007","02","030","00706","007",2,88943,NA,1,1,35,9,9,4,1,0,1,3000,NA,400,NA,NA,6000,NA,9400,0.94,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"67","00706007008","008","02","030","00706","007",9,140820,NA,1,1,39,5,9,5,1,0,1,4000,NA,400,NA,NA,7000,NA,11400,1.14,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"68","00706007009","009","02","030","00706","007",2,184076,0,1,1,52,6,9,5,1,0,1,3600,NA,400,NA,NA,10000,NA,14000,1.4,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"69","00706007010","010","02","030","00706","007",2,140296,NA,1,1,55,5,9,3,0,1,0,2000,NA,400,NA,NA,6000,NA,8400,0.84,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"70","00706007011","011","02","030","00706","007",2,93709,NA,1,1,52,5,9,3,1,0,1,3600,NA,400,NA,NA,8000,NA,12000,1.2,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"71","00706007012","012","02","030","00706","007",2,123258,0,1,1,44,12,9,3,1,0,1,3500,NA,300,NA,NA,NA,NA,3800,0.38,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"72","00706007013","013","02","030","00706","007",2,85466,44110,1,1,36,9,9,6,1,0,1,5000,NA,400,NA,NA,10000,NA,15400,1.54,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"73","00706007014","014","02","030","00706","007",1,56576,47496,0,1,56,9,9,2,1,0,1,2000,NA,400,NA,NA,10000,NA,12400,1.24,0,0,3,1,5,NA,NA,"cement_asphalt",1,0,0,0,0,0,0,15,-1,-1,0,15,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"74","00709001001","001","02","030","00709","001",2,86147,NA,1,1,59,5,12,3,1,0,0,1500,NA,300,NA,NA,5000,NA,6800,0.68,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"75","00709001002","002","02","030","00709","001",2,97739,NA,1,1,47,5,12,3,1,0,0,2200,NA,300,NA,NA,10000,NA,12500,1.25,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"76","00709001003","003","02","030","00709","001",25,85859,NA,1,1,57,6,12,5,1,0,0,2500,NA,300,NA,NA,5000,NA,7800,0.78,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"77","00709001004","004","02","030","00709","001",25,77472,NA,1,1,56,6,12,6,1,0,0,2000,NA,300,NA,NA,12000,NA,14300,1.43,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"78","00709001005","005","02","030","00709","001",25,107568,0,1,1,53,6,12,6,1,0,0,2000,NA,300,NA,NA,25000,NA,27300,2.73,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"79","00709001006","006","02","030","00709","001",25,109199,NA,1,1,57,6,12,5,1,0,0,1800,NA,300,NA,NA,15000,NA,17100,1.71,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"80","00709001007","007","02","030","00709","001",2,72863,NA,1,1,48,5,12,3,1,0,0,2508,NA,300,NA,NA,20000,NA,22808,2.2808,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"81","00709001008","008","02","030","00709","001",2,16871,NA,1,1,30,9,12,2,1,0,1,2000,NA,400,NA,NA,5000,NA,7400,0.74,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"82","00709001009","009","02","030","00709","001",25,135211,0,1,1,46,12,12,4,1,0,1,2000,NA,300,NA,NA,25000,NA,27300,2.73,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"83","00709001010","010","02","030","00709","001",2,44112,NA,1,1,55,3,12,4,1,0,1,4500,NA,300,NA,NA,20000,NA,24800,2.48,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
"84","00709001011","011","02","030","00709","001",2,139981,NA,1,1,42,NA,12,5,1,0,1,2000,NA,300,NA,NA,20000,NA,22300,2.23,1,1,NA,2,17,NA,NA,"tar_on_gravel",0,0,0,1,0,0,0,5,-1,-1,0,12,1,NA,NA,NA,NA,5,10,NA,"2022 (n = 13885)"
