"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","KYDIEUTRA","dummy_1m","dummy_1r","dummy_1m1r","n_app_fert","sum_fert","dummy_2r_fert","dummy_2r_app","dummy_2r","n_app_drug","n_app_insect_fungi","n_insect","n_fungi","dummy_3r_n_app","dummy_3r_stage","dummy_3r","water_source","pipe","n_drydown","dummy_4r","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","dummy_5r","dummy_1m2r","dummy_1m3r","dummy_1m4r","dummy_1m5r"
"17",2,27,811,7,811007011,5,1,100000,1,"Nghi Hương",1,1,0,0,1,460000,0,0,0,1,1,1,0,1,0,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"18",2,27,811,7,811007012,5,1,60000,1,"Nghi Hương",1,1,0,0,1,584200,0,0,0,1,1,1,0,1,0,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"19",2,27,811,7,811007013,99,1,0,99,"không trồng",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"20",2,27,811,7,811007014,5,1,0,99,"không biết",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"21",2,27,811,7,811007015,99,1,0,99,"nghi hương",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"22",2,27,811,7,811007016,99,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"23",2,31,1006,7,1006007001,5,1,20000,99,"bao thai",1,0,0,0,1,10000,0,0,0,1,0,1,0,1,0,NA,5,NA,2,0,2,0,0,1,0,2,1,3,0,0,0,0,0
"24",2,31,1006,7,1006007002,99,1,50000,2,"lúa thuần",1,0,0,0,2,41400,0,0,0,2,2,2,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"25",2,31,1006,7,1006007003,5,1,50000,2,"lúa thuần",1,0,0,0,1,9200,0,0,0,1,1,1,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"26",2,31,1006,7,1006007004,5,1,50000,2,"lúa thuần",1,0,0,0,1,13800,0,0,0,2,2,2,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"27",2,31,1006,7,1006007005,4,1,50000,99,"lúa thuần",1,0,0,0,1,36800,0,0,0,2,2,2,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"28",2,31,1006,7,1006007006,4,1,50000,2,"lúa thuần",1,0,0,0,1,23000,0,0,0,1,1,1,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"29",2,31,1006,7,1006007008,99,1,50000,99,"lúa thuần",1,0,0,0,2,59800,0,0,0,1,1,1,0,1,1,1,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"30",2,31,1006,7,1006007009,5,1,80000,3,"lúa thuần",1,0,0,0,1,13800,0,0,0,1,1,1,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"31",2,31,1006,7,1006007011,5,1,60000,3,"lúa thuần",1,0,0,0,1,13800,0,0,0,1,1,1,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"32",2,31,1006,7,1006007012,5,2,166.666666666667,3,"lúa thuần",1,0,0,0,1,9200,0,0,0,1,1,1,0,1,0,NA,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"33",2,31,1006,7,1006007013,5,1,60000,3,"lúa thuần",1,0,0,0,1,9200,0,0,0,1,1,1,0,1,1,1,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"34",2,31,1006,7,1006007015,5,1,40000,3,"lúa thuần",1,0,0,0,1,13800,0,0,0,1,1,1,0,1,0,NA,5,NA,2,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"35",2,32,1057,1,1057001001,1,1,0,99,"o",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"36",2,32,1057,1,1057001002,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"37",2,32,1057,1,1057001003,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"38",2,32,1057,1,1057001004,99,1,0,99,"o",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"39",2,32,1057,1,1057001005,99,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"40",2,32,1057,1,1057001006,99,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"41",2,32,1057,1,1057001007,99,1,0,99,"không có",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"42",2,32,1057,1,1057001008,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"43",2,32,1057,1,1057001009,99,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"44",2,32,1057,1,1057001010,99,2,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"45",2,32,1057,1,1057001011,99,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"46",2,32,1057,1,1057001012,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"47",2,32,1057,1,1057001013,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"48",2,32,1057,1,1057001014,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"49",2,32,1057,1,1057001015,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"50",2,34,1171,4,1171004002,4,1,70000,1,"pc15",1,1,0,0,2,420000,0,0,0,2,2,2,0,1,0,NA,4,2,1,0,2,0,0,1,0,2,1,3,0,0,0,0,0
"51",2,34,1171,4,1171004013,5,2,41.6666666666667,99,"BC15",1,0,1,0,2,8.33,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"52",2,34,1171,4,1171004015,5,2,972.222222222222,1,"BC15",1,1,0,0,2,102.22,0,0,0,2,1,1,1,1,0,NA,4,2,2,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"53",2,34,1186,11,1186011001,99,2,27.7777777777778,99,"lai",1,0,1,0,3,300,0,1,0,2,2,2,0,1,0,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"54",2,34,1186,11,1186011002,5,2,35,1,"Thái Bình",1,1,1,1,2,288.89,0,0,0,2,2,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0
"55",2,34,1186,11,1186011003,1,2,27.7777777777778,99,"lai",1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,3,2,0,0,2,0,0,1,0,2,1,2,0,0,0,0,0
"56",2,34,1186,11,1186011005,5,2,61.6666666666667,1,"lúa lai",1,1,1,1,3,101.67,0,1,0,3,1,2,0,1,0,NA,2,NA,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0
"57",2,34,1186,11,1186011006,1,1,40000,99,"lúa lai",1,0,0,0,3,12000,0,1,0,3,2,2,0,1,0,NA,4,2,0,0,2,0,1,0,0,3,2,2,0,0,0,0,0
"58",2,34,1186,11,1186011009,4,3,25.2,1,"San ưu 838",1,1,1,1,2,546.28,0,0,0,2,2,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0
"59",2,34,1186,11,1186011010,4,2,34.7222222222222,1,"lúa thuần",1,1,1,1,2,51.67,1,0,0,2,1,2,0,1,0,NA,2,NA,0,0,2,0,0,1,0,2,2,1,0,0,0,0,0
"60",2,34,1186,11,1186011011,4,2,27.7777777777778,99,"lúa lai",1,0,1,0,3,0,1,1,1,3,2,2,0,1,0,NA,3,2,0,0,2,0,1,0,0,3,2,2,0,0,0,0,0
"61",2,34,1186,11,1186011012,99,2,27.7777777777778,99,"lúa lai",1,0,1,0,2,200,0,0,0,2,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"62",2,34,1186,11,1186011013,5,2,138.888888888889,99,"lúa lai",1,0,0,0,3,300,0,1,0,2,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,1,3,2,2,0,0,0,0,0
"63",2,34,1186,11,1186011014,4,2,35,2,"nhi ưu",1,0,1,0,1,33.33,1,0,0,2,1,2,0,1,0,NA,2,NA,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0
"64",2,34,1186,11,1186011015,4,2,31.1111111111111,1,"thái bình",1,1,1,1,1,27.78,1,0,0,2,1,1,0,1,0,NA,2,NA,1,0,2,0,0,1,0,2,1,1,0,0,0,0,0
"65",2,34,1186,11,1186011016,1,2,27.7777777777778,99,"lai",1,0,1,0,3,300,0,1,0,1,1,1,0,1,0,NA,3,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"66",4,42,1318,9,1318009001,5,1,4000,1,"838",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"67",4,42,1318,9,1318009002,5,1,3000,1,"838",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"68",4,42,1318,9,1318009003,5,1,3000,1,"838",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"69",4,42,1318,9,1318009004,5,1,3000,1,"Thái Bình",1,1,0,0,1,920,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"70",4,42,1318,9,1318009005,5,1,3000,1,"Đại thơm",1,1,0,0,1,2300,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,2,2,3,0,0,0,0,0
"71",4,42,1318,9,1318009006,5,1,3000,2,"Thái Bình",1,0,0,0,1,920,0,0,0,1,1,1,0,1,1,1,4,2,1,0,2,0,0,1,0,2,2,3,0,0,0,0,0
"72",4,42,1318,9,1318009007,5,1,3000,1,"Thái Bình",1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,4,2,1,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"73",4,42,1318,9,1318009009,5,1,1000,2,"đại thơm",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"74",4,42,1318,9,1318009010,5,1,1000,99,"đại thơm",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"75",4,42,1318,9,1318009011,5,1,1000,2,"đại thơm",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"76",4,42,1318,9,1318009012,5,1,3000,1,"838",1,1,0,0,1,600,0,0,0,2,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"77",4,42,1318,9,1318009013,5,1,4000,2,"838",1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"78",4,42,1318,9,1318009014,5,1,3000,2,"838",1,0,0,0,1,0,1,0,0,2,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"79",4,42,1318,9,1318009015,5,1,3000,1,"838",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"80",4,43,1321,11,1321011002,5,1,0,1,"nhị ưu",1,1,1,1,2,46,1,0,0,0,0,0,0,1,NA,NA,5,NA,2,0,3,0,0,1,0,3,1,3,0,0,0,0,0
"81",4,43,1321,11,1321011003,1,1,0,1,"nhị ưu",1,1,1,1,2,652,0,0,0,0,0,0,0,1,NA,NA,5,NA,3,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"82",4,43,1321,11,1321011004,5,1,0,1,"838",1,1,1,1,2,360,0,0,0,0,0,0,0,1,NA,NA,5,NA,2,0,3,0,0,1,0,3,1,3,0,0,0,0,0
"83",4,43,1321,11,1321011006,5,1,500000,2,"tam nông",1,0,0,0,1,150000,0,0,0,2,1,1,0,1,1,1,4,2,1,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"84",4,43,1321,11,1321011007,5,1,250000,3,"đoàn kết",1,0,0,0,1,100000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"85",4,43,1321,11,1321011008,5,1,30000,3,"tam nông",1,0,0,0,2,202500,0,0,0,0,0,1,0,1,0,NA,4,2,0,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"86",4,43,1321,11,1321011009,5,1,100000,3,"tam nông",1,0,0,0,1,100000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"87",4,43,1321,11,1321011010,5,1,30000,3,"đại dương",1,0,0,0,1,100000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"88",4,43,1321,11,1321011011,5,1,150000,3,"tam nông",1,0,0,0,2,430000,0,0,0,1,1,0,1,1,1,1,4,2,0,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"89",4,43,1321,11,1321011013,5,1,150000,2,"tam nông",1,0,0,0,1,40000,0,0,0,1,1,1,0,1,1,1,4,2,0,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"90",4,47,1498,4,1498004001,1,1,1000,2,"Địa phương",1,0,0,0,1,200,0,0,0,1,1,1,0,1,0,NA,4,2,3,0,3,1,0,1,0,3,2,2,0,0,0,0,0
"91",4,47,1498,4,1498004002,1,1,1000,2,"địa phương",1,0,0,0,1,200,0,0,0,1,1,1,0,1,0,NA,4,2,3,0,3,1,0,1,0,3,2,2,0,0,0,0,0
"92",4,47,1498,4,1498004003,1,1,0,99,"địa phương",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"93",4,47,1498,4,1498004004,1,1,80000,2,"31",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,3,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"94",4,47,1498,4,1498004005,1,1,80000,2,"31",1,0,0,0,1,138000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"95",4,47,1498,4,1498004006,1,1,10000,3,"địa phương tự để giống",1,0,0,0,1,138000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"96",4,47,1498,4,1498004007,1,1,90000,2,"Nhị ưu 838",1,0,0,0,2,230000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"97",4,47,1498,4,1498004008,1,2,27.7777777777778,2,"tẻ lai 31",1,0,1,0,2,165000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"98",4,47,1498,4,1498004009,1,1,20000,1,"tẻ lai",1,1,0,0,2,161000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,3,0,0,1,0,2,2,3,0,0,0,0,0
"99",4,47,1498,4,1498004010,1,1,15000,1,"tẻ lai 31",1,1,0,0,2,115000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"100",4,47,1498,4,1498004011,1,1,30000,1,"tẻ lai 31",1,1,0,0,2,376000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,3,0,0,1,0,3,2,3,0,0,0,0,0
"101",4,47,1498,4,1498004012,1,1,400000,3,"địa phương",1,0,0,0,1,40000,0,0,0,1,1,1,0,1,0,NA,4,2,3,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"102",4,47,1498,4,1498004013,1,1,20000,2,"31",1,0,0,0,1,115000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"103",4,47,1498,4,1498004014,1,1,20000,1,"tẻ lai 31",1,1,0,0,2,230000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,3,0,0,1,0,2,2,3,0,0,0,0,0
"104",4,47,1498,4,1498004016,1,1,90000,2,"31",1,0,0,0,2,184000,0,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,0,0,3,1,2,0,0,0,0,0
"105",4,48,1537,4,1537004001,1,1,50000,1,"Q63",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,2,3,1,0,0,0,0
"106",4,48,1537,4,1537004002,1,1,40000,1,"Q63",1,1,0,0,2,16,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,2,3,1,0,0,0,0
"107",4,48,1537,4,1537004003,1,1,60000,1,"gs55",1,1,0,0,2,400,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,1,3,1,0,0,0,0
"108",4,48,1537,4,1537004005,1,1,50000,1,"Q63",1,1,0,0,2,400,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"109",4,48,1537,4,1537004006,1,1,60000,1,"Q63",1,1,0,0,2,1120,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"110",4,48,1537,4,1537004010,1,1,80000,1,"Q63",1,1,0,0,2,0,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,3,2,2,0,0,0,0,0
"111",4,48,1537,4,1537004011,1,1,50000,1,"GS55",1,1,0,0,2,40,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,1,1,0,0,0,2,2,3,1,0,0,0,0
"112",4,48,1537,4,1537004013,1,1,60000,1,"GS55",1,1,0,0,2,40,1,0,0,1,1,1,0,1,0,NA,4,2,1,0,3,1,0,0,0,2,2,3,1,0,0,0,0
"113",4,48,1537,4,1537004014,6,1,30000,1,"Q63",1,1,0,0,2,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,1,0,0,0,3,2,2,0,0,0,0,0
"114",4,48,1537,4,1537004015,1,1,30000,1,"GS55",1,1,0,0,2,208,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"115",4,51,1666,3,1666003001,1,1,200000,3,"Đoàn kết",1,0,0,0,2,138000,0,0,0,2,2,1,0,1,0,NA,5,NA,3,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"116",4,51,1666,3,1666003002,1,1,100000,99,"o",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,NA,4,2,0,0,5,0,0,1,0,2,1,2,0,0,0,0,0
"117",4,51,1666,3,1666003003,1,1,20000,2,"Đoàn kết",1,0,0,0,2,4000,0,0,0,1,1,2,0,1,0,NA,1,NA,2,0,2,1,0,0,0,3,1,2,0,0,0,0,0
"118",4,51,1666,3,1666003004,5,1,100000,3,"Bao Thai",1,0,0,0,2,142000,0,0,0,2,2,2,0,1,0,NA,5,NA,2,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"119",4,51,1666,3,1666003005,1,1,60000,3,"Thái lùn",1,0,0,0,1,0,1,0,0,2,2,2,0,1,0,NA,5,NA,2,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"120",4,51,1666,3,1666003006,99,1,300000,2,"Đoàn kết",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,5,NA,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"121",4,51,1666,3,1666003007,1,1,10000,3,"Đoàn kết",1,0,0,0,2,1000,0,0,0,2,1,2,0,1,0,NA,4,2,2,0,2,1,0,0,0,3,1,2,0,0,0,0,0
"122",4,51,1666,3,1666003008,5,0,NA,3,"Bao thai",1,0,NA,0,2,0,1,0,0,2,2,2,0,1,0,NA,5,NA,2,0,2,1,0,0,0,2,2,2,1,0,0,0,0
"123",4,51,1666,3,1666003009,1,1,250000,3,"Đoàn kết",1,0,0,0,3,92000,0,1,0,2,2,1,0,1,0,NA,5,NA,3,0,2,1,0,0,0,3,1,2,0,0,0,0,0
"124",4,51,1666,3,1666003010,1,1,450000,3,NA,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,5,NA,1,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"125",4,51,1666,3,1666003011,1,1,10000,2,"Đoàn kết",1,0,0,0,2,1000,0,0,0,2,2,2,0,1,0,NA,4,2,2,0,2,1,0,0,0,3,1,2,0,0,0,0,0
"126",4,51,1666,3,1666003013,1,1,180000,2,"Đoàn kết",1,0,0,0,1,0,1,0,0,1,1,0,0,1,NA,NA,5,NA,3,0,2,0,0,1,0,1,2,2,0,0,0,0,0
"127",4,51,1666,3,1666003014,1,1,8000,2,"Đoàn kết",1,0,0,0,2,800,0,0,0,2,1,2,0,1,0,NA,4,2,1,0,2,1,0,0,0,3,1,2,0,0,0,0,0
"128",4,51,1666,3,1666003015,5,1,100000,2,"DTE",1,0,0,0,2,380000,0,0,0,2,2,2,0,1,0,NA,5,NA,2,1,2,1,0,0,0,2,2,2,1,0,0,0,0
"129",4,51,1699,4,1699004001,1,1,70000,1,"GS55",1,1,0,0,1,230000,0,0,0,1,1,1,0,1,0,NA,5,NA,3,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"130",4,51,1699,4,1699004002,1,1,400000,1,"Đoàn kêt",1,1,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"131",4,51,1699,4,1699004004,5,1,200000,3,"Đoàn kết",1,0,0,0,2,230000,0,0,0,2,2,2,0,1,0,NA,5,NA,4,0,2,0,0,1,0,2,2,2,0,0,0,0,0
"132",4,51,1699,4,1699004005,1,1,60000,1,"Đoàn kết",1,1,0,0,2,345000,0,0,0,1,1,1,0,1,0,NA,5,NA,3,0,2,0,0,1,0,3,1,2,0,0,0,0,0
"133",4,51,1699,4,1699004006,99,1,200000,1,"Đoàn kết",1,1,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
