"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B51A_C1","M4B51A_C2","M4B51A_C3","M4B51A_C4","M4B51A_C5","M4B51A_C12M","M4B51A_C12Y","M4B51A_C131","M4B51A_C132","M4B51A_C133","M4B51A_C134","M4B51A_C135","M4B51A_C136","M4B51A_C137","M4B51A_C138","M4B51A_C138_GHIRO","M4B51A_C14","M4B51A_C15","M4B51A_C16","M4B51A_C17","M4B51A_C18","M4B51A_C19","M4B51A_C20","M4B51A_C21","M4B51A_C22","M4B51A_C23A","M4B51A_C23M","M4B51A_C23Y","M4B51A_C24","M4B51A_C25"
"23","32059023015","96","966","32059","023","015",3,2000,1,NA,2,1,6,2023,2,2,2,2,2,2,2,1,"tự có","0","32059",1,0,"0",0,0,0,0,1,6,2023,1,2
"24","32059023019","96","966","32059","023","019",3,2000,1,NA,2,1,7,2023,2,2,2,2,2,2,2,1,"tự có","không","32059",2,0,"0",0,0,0,0,2,NA,NA,1,2
"25","32124014001","96","968","32124","014","001",3,2001,1,NA,2,1,8,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phí thường",4000,2000,2,0,1,7,2022,1,2
"26","32124014002","96","968","32124","014","002",3,2010,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"Cá phi thường",0,0,0,0,1,5,2023,3,2
"27","32124014003","96","968","32124","014","003",3,2001,1,NA,2,1,10,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phí thường",5000,2000,2,0,1,10,2022,1,2
"28","32124014004","96","968","32124","014","004",3,2021,1,NA,2,1,4,2021,2,1,2,2,2,2,2,2,"","Cá phi đài loan","32124",50,2,"Cá phi đài loan",300,150,2,400,1,2,2022,1,2
"29","32124014007","96","968","32124","014","007",3,2001,1,NA,2,1,3,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phí thường",2000,1000,2,0,1,7,2023,1,2
"30","32124014008","96","968","32124","014","008",3,2013,1,NA,2,1,2,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"Cá phi thường",0,0,0,0,1,3,2022,3,2
"31","32124014010","96","968","32124","014","010",3,2013,1,NA,2,0,2,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",0,0,0,0,1,5,2022,1,2
"32","32124014012","96","968","32124","014","012",3,2004,1,NA,2,0,2,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",0,0,0,0,1,6,2022,1,2
"33","32124014013","96","968","32124","014","013",3,2002,1,NA,2,1,4,2021,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",1000,500,2,0,2,NA,NA,1,2
"34","32124014015","96","968","32124","014","015",3,2002,1,NA,2,1,8,2021,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phí  thường",5000,2500,2,0,1,10,2022,1,2
"35","32124014018","96","968","32124","014","018",3,2002,1,NA,2,1,6,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phí thường",5000,2000,2,0,2,NA,NA,1,2
"36","32124014019","96","968","32124","014","019",3,2004,1,NA,2,1,2,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"Cá phi thường",0,0,0,0,1,3,2023,1,2
"37","32128020001","96","969","32128","020","001",3,2002,2,0,2,1,1,2016,2,2,2,2,1,2,2,2,"","trại cá An Diện","32128",3,2,"cá rô phi đơn tính",1000,400,1.2,150,2,NA,NA,1,2
"38","32128020004","96","969","32128","020","004",3,2005,1,NA,2,1,5,2016,2,2,2,2,1,2,2,2,"","trại cá út gấu","32128",2.5,3,"cá phi đơn tính",400,100,1.2,130,2,NA,NA,1,2
"39","32128020005","96","969","32128","020","005",3,2000,2,10,1,1,98,2013,2,1,2,2,2,2,2,2,"","99","32128",5,1,"Cá rô phi Đài Loan",0,0,0,0,2,NA,NA,1,2
"40","32128020006","96","969","32128","020","006",3,2000,1,NA,1,1,1,2022,2,2,2,2,1,2,2,2,"","An Diện","32128",5,2,"Cá rô phi Đài Loan",200,110,5,90,2,NA,NA,1,2
"41","32128020007","96","969","32128","020","007",3,2000,2,0,2,1,1,2015,2,1,2,2,2,2,2,2,"","99","32128",3,2,"cá phi đơn tính",500,200,0.25,120,2,NA,NA,1,2
"42","32128020008","96","969","32128","020","008",3,2014,1,NA,1,1,1,2022,2,1,2,2,2,2,2,2,"","Cá rô phi Đài Loan","32128",5,10,"Cá rô phi Đài Loan",0,0,0,0,2,NA,NA,1,2
"43","32128020011","96","969","32128","020","011",3,2013,1,NA,1,1,1,2022,2,1,2,2,2,2,2,2,"","99","32128",999,10,"Cá phi đơn tính",0,0,0,0,2,NA,NA,1,2
"44","32128020012","96","969","32128","020","012",3,2000,2,10,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32128",999,2,"Cá rô phi đơn tính",300,160,4,0,2,NA,NA,1,2
"45","32128020013","96","969","32128","020","013",3,2000,1,NA,2,1,6,2013,2,2,2,2,1,2,2,2,"","trại cá an diện","32128",2,2,"cá rô phi đơn tính",1000,300,0.5,350,2,NA,NA,1,2
"46","32128020014","96","969","32128","020","014",3,2000,1,NA,1,1,2,2022,2,1,2,2,2,2,2,2,"","99","32128",5,0,"0",0,0,0,0,1,1,2023,1,2
"47","32128020015","96","969","32128","020","015",3,2000,2,10,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32128",999,1,"Cá rô phi đơn tính",200,110,5,0,2,NA,NA,1,2
"48","32128020019","96","969","32128","020","019",3,2000,1,NA,2,1,8,2014,2,2,2,2,1,2,2,2,"","trại cá giống an diện","32128",3,2,"cá rô phi đơn tính",1000,300,1.5,300,2,NA,NA,1,2
"49","32221005001","96","972","32221","005","001",3,2000,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",20000,0,0.5,0,1,6,2023,1,2
"50","32221005003","96","972","32221","005","003",3,2000,1,NA,2,1,1,2021,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",5,0,0.5,0,2,NA,NA,1,2
"51","32221005004","96","972","32221","005","004",3,2004,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",0,0,0.4,0,1,7,2023,1,2
"52","32221005006","96","972","32221","005","006",3,2001,1,NA,2,1,1,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",12000,0,0.4,0,2,NA,NA,1,2
"53","32221005015","96","972","32221","005","015",3,2015,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",9000,0,0.5,0,2,NA,NA,1,2
"54","01657009008","04","051","01657","009","008",2,2022,1,NA,2,1,5,2022,2,2,2,2,1,2,2,2,NA,"99","01705",99,2,"99",300,0,0,0,3,NA,NA,NA,NA
"55","01933001011","06","061","01933","001","011",2,2020,1,NA,1,1,7,2020,2,2,2,2,2,2,2,1,"tư thương","trại cá cẩm giàng","02008",41,5,"rô đơn tính",150,120,3,150,1,10,2022,1,5
"56","02209004010","08","070","02209","004","010",2,2010,1,NA,1,1,3,2023,2,1,2,2,2,2,2,2,NA,"99","02209",1,3,"zoo phi đơn tính",100,100,5,250,2,NA,NA,4,2
"57","02209004012","08","070","02209","004","012",2,2009,1,NA,1,1,3,2022,2,2,2,2,1,2,2,2,NA,"99","02209",2,3,"Rô phi lưỡng tính",100,100,10,200,2,NA,NA,1,2
"58","02446001001","08","075","02446","001","001",2,2019,1,NA,1,1,4,2022,2,1,2,2,2,2,2,2,NA,"99","02446",0.5,3,"rô phi lưỡng tính",200,80,10,1400,2,NA,NA,1,2
"59","02446001008","08","075","02446","001","008",2,2021,1,NA,2,1,3,2020,2,1,2,2,2,2,2,2,NA,"99","02446",1,1,"rô phi ta",200,0,5,150,2,NA,NA,1,2
"60","02446001011","08","075","02446","001","011",2,2013,1,NA,2,1,2,2022,2,2,1,2,2,2,2,2,NA,"99","02446",1,5,"rô phi ta",300,0,10,200,2,NA,NA,1,2
"61","02464011004","08","075","02464","011","004",2,2018,1,NA,1,1,1,2023,2,2,2,2,1,2,2,2,NA,"99","02518",16,3,"rô phi ta",100,0,4,100,2,NA,NA,1,5
"62","02464011010","08","075","02464","011","010",2,2019,1,NA,2,1,4,2022,2,2,1,2,2,2,2,2,NA,"99","02464",0.4,3,"rô phi ta",200,0,10,3120,2,NA,NA,1,2
"63","02464011011","08","075","02464","011","011",2,2021,1,NA,1,1,2,2022,2,1,2,2,2,2,2,2,NA,"99","02464",0.2,2,"rô phi lưỡng tính",100,30,10,600,2,NA,NA,1,2
"64","02464011014","08","075","02464","011","014",2,2022,1,NA,1,1,2,2022,2,2,2,2,1,2,2,2,NA,"99","02464",10,1,"cá rô phi đơn tính",500,500,4,700,2,NA,NA,1,2
"65","02476002010","08","075","02476","002","010",2,2021,1,NA,2,1,5,2021,2,1,2,2,2,2,2,2,NA,"99","02476",1.5,2,"cá rô phi ta",20,0,5,100,1,2,2023,1,2
"66","03200005015","11","097","03200","005","015",2,2019,1,NA,2,1,7,2019,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"rô phi vằn",105,50,2.1,810,1,10,2022,1,2
"67","04714019005","15","141","04714","019","005",2,2020,1,NA,2,1,4,2021,2,1,2,2,2,2,2,2,NA,"bạn ở gần nhà cho giống","04714",0.5,2,"đường nghiệp",200,50,10,0,2,NA,NA,1,3
"68","04714019008","15","141","04714","019","008",2,2020,1,NA,2,1,4,2020,2,1,2,2,2,2,2,2,NA,"con trai ở gần nhà mang cho","04714",0.5,3,"rô phi đơn tính",300,100,10,0,2,NA,NA,1,5
"69","04747006003","15","141","04747","006","003",2,2021,1,NA,2,1,3,2021,2,2,2,2,2,2,2,1,"mua của hộ khác","99","07981",50,3,"cá rô phi đơn tính",100,0,6,120,2,NA,NA,4,5
"70","04747006011","15","141","04747","006","011",2,2020,1,NA,2,1,3,2020,2,1,2,2,2,2,2,2,NA,"con trai ở gần nhà mang cho","04747",0.5,3,"rô phi đơn tính",350,100,10,0,2,NA,NA,1,5
"71","05647016002","19","168","05647","016","002",2,2020,2,1,1,1,4,2022,2,2,2,2,1,2,2,2,NA,"99","05650",13,3,"Rô phi đơn tính",300,300,2,300,1,11,2022,1,2
"72","07417002003","24","217","07417","002","003",2,2017,1,NA,1,1,10,2021,2,1,2,2,2,2,2,2,NA,"nguyễn văn dương","07417",8,1,"rô phi đơn tính",50,50,3,150,1,11,2022,1,2
"73","10876002004","30","294","10876","002","004",2,2000,1,NA,2,1,10,2022,2,1,2,2,2,2,2,2,NA,"ônh khai","10852",4,23,"Rô phi thường",150,0,9,80,2,NA,NA,1,2
"74","19543001006","45","466","19543","001","006",2,2008,1,NA,2,1,9,2022,2,2,2,2,2,2,2,1,"tự nhiên vào hồ","không","19330",12,1,"rô phi",1000,0,0,0,1,3,2023,1,1
"75","21769007014","52","545","21769","007","014",2,2001,1,NA,1,1,12,2022,2,1,2,2,2,2,2,2,NA,"99","21769",2,5,"cá rô phi đơn tính",10000,420,1,100,1,4,2023,1,2
"76","21769007015","52","545","21769","007","015",2,2002,1,NA,1,1,12,2022,2,1,2,2,2,2,2,2,NA,"99","21769",1,3,"cá rô phi đơn tính",11000,4500,1,250,1,4,2023,1,2
"77","23395004011","62","611","23395","004","011",2,2020,1,NA,1,1,6,2022,2,2,2,2,1,1,2,2,NA,"99","23500",60,2,"rô phi lai",2000,0,10,1500,2,NA,NA,1,0
"78","24685008003","67","663","24685","008","003",2,2019,1,NA,1,1,6,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"rô phi đơn tính",300,300,3,1500,1,2,2023,1,5
"79","32048024006","96","966","32048","024","006",2,2015,1,NA,2,1,9,2015,2,1,2,2,2,2,2,2,NA,"Anh Tài","32048",0.1,8,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"80","32048024008","96","966","32048","024","008",2,2015,1,NA,2,1,5,2015,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thiên nhiên",500,0,4,300,2,NA,NA,1,2
"81","32048024012","96","966","32048","024","012",2,2015,1,NA,2,1,5,2015,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phí tự nhiên",600,0,2.5,0,2,NA,NA,1,2
"82","32048024013","96","966","32048","024","013",2,2015,1,NA,2,1,7,2015,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"rô phi tự nhiên",500,0,3,0,2,NA,NA,1,2
"83","32069008001","96","967","32069","008","001",2,2004,1,NA,2,1,10,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"84","32069008002","96","967","32069","008","002",2,2013,1,NA,2,1,5,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"85","32069008003","96","967","32069","008","003",2,2002,1,NA,2,4,6,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"86","32069008005","96","967","32069","008","005",2,2002,1,NA,2,1,4,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"87","32069008006","96","967","32069","008","006",2,2005,1,NA,2,1,6,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"88","32069008007","96","967","32069","008","007",2,2001,1,NA,2,1,12,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"89","32077027002","96","967","32077","027","002",2,2002,1,NA,2,1,3,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"90","32077027003","96","967","32077","027","003",2,2003,1,NA,2,1,1,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"91","32077027004","96","967","32077","027","004",2,2004,1,NA,2,1,7,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"92","32077027005","96","967","32077","027","005",2,2002,1,NA,2,1,2,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"93","32077027006","96","967","32077","027","006",2,2003,1,NA,2,1,12,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"94","32077027007","96","967","32077","027","007",2,2003,1,NA,2,1,11,2016,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"95","32077027012","96","967","32077","027","012",2,2004,1,NA,2,1,6,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"96","32077027014","96","967","32077","027","014",2,2002,1,NA,2,1,10,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"97","32077027015","96","967","32077","027","015",2,2005,1,NA,2,1,6,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"98","32125012002","96","968","32125","012","002",2,2001,2,0,2,1,10,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi  thường",2000,500,2,0,2,NA,NA,1,2
"99","32125012003","96","968","32125","012","003",2,2001,1,NA,2,2,8,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"100","32125012004","96","968","32125","012","004",2,2002,1,NA,2,1,4,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phí thường",0,0,0,0,2,NA,NA,1,2
"101","32125012006","96","968","32125","012","006",2,2001,1,NA,2,1,10,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi  thường",0,0,0,0,2,NA,NA,1,2
"102","32125012007","96","968","32125","012","007",2,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"103","32125012008","96","968","32125","012","008",2,2002,1,NA,2,1,10,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,3
"104","32125012009","96","968","32125","012","009",2,2001,1,NA,2,1,4,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"Cá phi thường",0,0,0,0,2,NA,NA,1,2
"105","32125012010","96","968","32125","012","010",2,2001,1,NA,2,1,12,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"106","32125012011","96","968","32125","012","011",2,2002,1,NA,2,1,11,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"107","32125012012","96","968","32125","012","012",2,2000,1,NA,2,1,3,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"108","32125012013","96","968","32125","012","013",2,2000,1,NA,2,1,4,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"109","32125012014","96","968","32125","012","014",2,2001,1,NA,2,1,10,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi thường",0,0,0,0,2,NA,NA,1,2
"110","32143010002","96","969","32143","010","002",2,2000,1,NA,2,1,1,2014,2,1,2,2,2,2,2,2,NA,"99","32143",999,9,"Cá rô phi đơn tính",1000,400,3.5,0,2,NA,NA,1,2
"111","32143010003","96","969","32143","010","003",2,2000,2,5,2,1,1,2013,2,1,2,2,2,2,2,2,NA,"99","32143",999,9,"Cá rô phi đơn tính",300,140,4.5,0,2,NA,NA,1,2
"112","32143010004","96","969","32143","010","004",2,2000,1,NA,2,1,1,2015,2,2,2,2,1,2,2,2,NA,"cơ sở an diện","32128",15,2,"cá phi đơn tính",800,300,2,250,2,NA,NA,1,2
"113","32143010005","96","969","32143","010","005",2,2000,1,NA,2,1,1,2015,2,1,2,2,2,2,2,2,NA,"99","32143",999,8,"Cá rô phi đơn tính",1200,500,4,0,2,NA,NA,1,2
"114","32143010006","96","969","32143","010","006",2,2000,2,5,2,1,1,2013,2,1,2,2,2,2,2,2,NA,"99","32143",999,5,"Cá rô phi đơn tính",300,140,5,0,2,NA,NA,1,2
"115","32143010007","96","969","32143","010","007",2,2000,1,NA,2,1,1,2014,2,2,2,2,1,2,2,2,NA,"hộ bán cá giống khác","32128",14,1,"cá rô phi đơn tính",400,100,1.5,150,2,NA,NA,1,2
"116","32143010008","96","969","32143","010","008",2,2000,1,NA,2,1,1,2015,2,1,2,2,2,2,2,2,NA,"99","32143",999,0,"Cá rô phi đơn tính",2500,1000,4,0,2,NA,NA,1,2
"117","32143010009","96","969","32143","010","009",2,2000,2,20,2,1,1,2013,2,1,2,2,2,2,2,2,NA,"99","32143",99,1,"Cá rô phi đơn tính",300,140,10,0,2,NA,NA,1,2
"118","32143010010","96","969","32143","010","010",2,2000,1,NA,2,1,4,2015,2,2,2,2,1,2,2,2,NA,"cơ sở út gấu","32128",14,1,"cá rô phi đài loan",600,200,1.5,160,2,NA,NA,1,2
"119","32143010011","96","969","32143","010","011",2,2019,1,NA,2,1,1,2020,2,1,2,2,2,2,2,2,NA,"99","32143",999,0,"Cá rô phi đơn tính",1300,550,4.5,0,2,NA,NA,1,2
"120","32143010012","96","969","32143","010","012",2,2000,2,20,2,1,1,2013,2,1,2,2,2,2,2,2,NA,"99","32143",999,10,"Cá rô phi",500,200,8,0,2,NA,NA,1,2
"121","32143010013","96","969","32143","010","013",2,2000,1,NA,2,1,2,2015,2,2,2,2,1,2,2,2,NA,"cơ sở an diện","32128",13,2,"cá rô phi đơn tính",800,300,1.5,300,2,NA,NA,1,2
"122","32143010014","96","969","32143","010","014",2,2000,1,NA,2,1,1,2016,2,1,2,2,2,2,2,2,NA,"99","32143",999,0,"Cá rô phi đơn tính",1100,450,4,0,2,NA,NA,1,2
"123","32143010015","96","969","32143","010","015",2,2000,2,20,2,1,1,2013,2,1,2,2,2,2,2,2,NA,"99","32143",999,20,"Cá rô phi đơn tính",300,140,7.5,0,2,NA,NA,1,2
"124","32236002010","96","973","32236","002","010",2,2010,2,4,2,1,5,2020,2,2,2,2,2,2,2,1,"mua chạy rong đi bán","99","32128",30,1,"cá rô phi đài loan",1000,400,2,600,2,NA,NA,1,2
"125","32236002014","96","973","32236","002","014",2,2010,2,6,2,1,5,2020,2,2,2,2,1,2,2,2,NA,"99","32128",35,1,"cá phi đài loan",500,200,2,240,2,NA,NA,1,2
"126","00811007004","02","027","00811","007","004",1,2019,1,NA,1,1,4,2022,2,1,2,2,2,2,2,2,NA,"99","00811",2,1,"Rô Phi",300,50,2,1160,2,2,2023,4,5
"127","01666003008","04","051","01666","003","008",1,2018,1,NA,2,1,3,2021,2,2,2,2,1,2,2,2,NA,"99","01654",999,1,"rô phi đơn tính",200,50,2,100,2,3,2023,1,2
"128","02275005001","08","072","02275","005","001",1,2000,1,NA,2,1,7,2018,2,2,2,2,2,1,2,2,NA,"99","02221",20,4,"rô phi đơn tính",300,200,5,250,2,1,2023,1,2
"129","02275005005","08","072","02275","005","005",1,2020,1,NA,2,1,7,2020,2,1,2,2,2,2,2,2,NA,"99","02221",20,3,"rô phi đơn tính",100,60,5,80,2,1,2023,1,2
"130","02383006001","08","074","02383","006","001",1,2005,1,NA,2,1,12,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi khác",300,200,1,0,2,12,2022,1,2
"131","02383006002","08","074","02383","006","002",1,2005,1,NA,2,1,2,2020,2,1,2,2,2,2,2,2,NA,"99","02383",999,1,"cá rô phi khác",500,250,2,0,2,12,2022,1,5
"132","02383006010","08","074","02383","006","010",1,2021,1,NA,2,1,3,2021,2,2,2,1,2,2,2,2,NA,"99","02518",999,2,"đơn tính",500,475,5,1000,2,8,2022,1,2
"133","02542011007","08","076","02542","011","007",1,2022,1,NA,1,1,10,2022,2,1,2,2,2,2,2,2,NA,"99","02542",2,2,"rô phi đơn tính",40,15,2,120,2,11,2022,4,5
"134","02542011008","08","076","02542","011","008",1,2022,1,NA,1,1,1,2022,2,1,2,2,2,2,2,2,NA,"99","02542",20,3,"rô phi đơn tính",75,20,2,200,2,1,2023,4,5
