"MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","wt45","Region","count","dom_ea","dom_commune","ws_rate_ha","pre_rate_ha"
2,27,811,7,3,811007003,"Tinh Ha Giang",5,1,4,2,1,4,1,"Nghi Hương",1,344,"2_NMMA",6,1,1,40000,40000
2,27,811,7,4,811007004,"Tinh Ha Giang",99,1,4,1,1,4,1,"Nghi Hương",1,344,"2_NMMA",6,1,1,40000,40000
2,27,811,7,5,811007005,"Tinh Ha Giang",1,1,4,99,1,NA,99,"nghi hương",1,344,"2_NMMA",6,1,1,40000,NA
2,27,811,7,7,811007007,"Tinh Ha Giang",1,1,300,3,1,3,99,"tạp giao",1,344,"2_NMMA",6,1,1,3000000,30000
2,27,811,7,10,811007010,"Tinh Ha Giang",1,1,0,NA,1,NA,99,"0",1,344,"2_NMMA",5,1,1,0,NA
2,27,811,7,11,811007011,"Tinh Ha Giang",5,1,10,2,1,10,1,"Nghi Hương",1,344,"2_NMMA",6,1,1,100000,100000
2,27,811,7,12,811007012,"Tinh Ha Giang",5,1,6,2,1,6,1,"Nghi Hương",1,344,"2_NMMA",6,1,1,60000,60000
2,27,811,7,13,811007013,"Tinh Ha Giang",99,1,0,NA,1,NA,99,"không trồng",1,344,"2_NMMA",5,1,1,0,NA
2,27,811,7,14,811007014,"Tinh Ha Giang",5,1,0,NA,1,NA,99,"không biết",1,344,"2_NMMA",5,1,1,0,NA
2,27,811,7,15,811007015,"Tinh Ha Giang",99,1,0,NA,1,NA,99,"nghi hương",1,344,"2_NMMA",5,1,1,0,NA
2,27,811,7,16,811007016,"Tinh Ha Giang",99,1,0,NA,1,NA,99,"0",1,344,"2_NMMA",5,1,1,0,NA
2,31,1006,7,1,1006007001,"Tinh Ha Giang",5,1,2,99,1,NA,99,"bao thai",1,482,"2_NMMA",11,1,1,20000,NA
2,31,1006,7,2,1006007002,"Tinh Ha Giang",99,1,5,10,1,5,2,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,50000
2,31,1006,7,3,1006007003,"Tinh Ha Giang",5,1,5,6,1,7,2,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,70000
2,31,1006,7,4,1006007004,"Tinh Ha Giang",5,1,5,8,1,7,2,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,70000
2,31,1006,7,5,1006007005,"Tinh Ha Giang",4,1,5,10,1,5,99,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,50000
2,31,1006,7,6,1006007006,"Tinh Ha Giang",4,1,5,7,1,9,2,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,90000
2,31,1006,7,8,1006007008,"Tinh Ha Giang",99,1,5,99,1,NA,99,"lúa thuần",1,482,"2_NMMA",11,1,1,50000,NA
2,31,1006,7,9,1006007009,"Tinh Ha Giang",5,1,8,8,1,8,3,"lúa thuần",1,482,"2_NMMA",11,1,1,80000,80000
2,31,1006,7,11,1006007011,"Tinh Ha Giang",5,1,6,99,1,NA,3,"lúa thuần",1,482,"2_NMMA",11,1,1,60000,NA
2,31,1006,7,12,1006007012,"Tinh Ha Giang",5,2,6,8,1,7,3,"lúa thuần",1,482,"2_NMMA",1,1,1,166.666666666667,70000
2,31,1006,7,13,1006007013,"Tinh Ha Giang",5,1,6,99,1,NA,3,"lúa thuần",1,482,"2_NMMA",11,1,1,60000,NA
2,31,1006,7,15,1006007015,"Tinh Ha Giang",5,1,4,99,1,NA,3,"lúa thuần",1,482,"2_NMMA",11,1,1,40000,NA
2,32,1057,1,1,1057001001,"Tinh Ha Giang",1,1,0,99,1,NA,99,"o",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,2,1057001002,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,32,1057,1,3,1057001003,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,32,1057,1,4,1057001004,"Tinh Ha Giang",99,1,0,99,1,NA,99,"o",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,5,1057001005,"Tinh Ha Giang",99,1,0,0,2,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,32,1057,1,6,1057001006,"Tinh Ha Giang",99,1,0,99,1,NA,99,"0",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,7,1057001007,"Tinh Ha Giang",99,1,0,NA,1,NA,99,"không có",1,412,"2_NMMA",1,1,1,0,NA
2,32,1057,1,8,1057001008,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,32,1057,1,9,1057001009,"Tinh Ha Giang",99,1,0,0,1,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,32,1057,1,10,1057001010,"Tinh Ha Giang",99,2,0,99,2,NA,99,"0",1,412,"2_NMMA",1,1,1,0,NA
2,32,1057,1,11,1057001011,"Tinh Ha Giang",99,1,0,99,1,NA,99,"0",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,12,1057001012,"Tinh Ha Giang",1,1,0,99,1,NA,99,"0",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,13,1057001013,"Tinh Ha Giang",1,1,0,99,1,NA,99,"0",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,14,1057001014,"Tinh Ha Giang",1,1,0,99,1,NA,99,"0",1,412,"2_NMMA",13,1,1,0,NA
2,32,1057,1,15,1057001015,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,412,"2_NMMA",13,1,1,0,0
2,34,1171,4,2,1171004002,"Tinh Ha Giang",4,1,7,30,1,NA,1,"pc15",1,320,"2_NMMA",1,2,2,70000,NA
2,34,1171,4,13,1171004013,"Tinh Ha Giang",5,2,1.5,99,2,NA,99,"BC15",1,320,"2_NMMA",2,2,2,41.6666666666667,NA
2,34,1171,4,15,1171004015,"Tinh Ha Giang",5,2,35,99,2,NA,1,"BC15",1,320,"2_NMMA",2,2,2,972.222222222222,NA
2,34,1186,11,1,1186011001,"Tinh Ha Giang",99,2,1,99,2,NA,99,"lai",1,389,"2_NMMA",11,2,2,27.7777777777778,NA
2,34,1186,11,2,1186011002,"Tinh Ha Giang",5,2,1.26,2,2,1.23,1,"Thái Bình",1,389,"2_NMMA",11,2,2,35,34.1666666666667
2,34,1186,11,3,1186011003,"Tinh Ha Giang",1,2,1,99,2,NA,99,"lai",1,389,"2_NMMA",11,2,2,27.7777777777778,NA
2,34,1186,11,5,1186011005,"Tinh Ha Giang",5,2,2.22,0,2,2.15,1,"lúa lai",1,389,"2_NMMA",11,2,2,61.6666666666667,59.7222222222222
2,34,1186,11,6,1186011006,"Tinh Ha Giang",1,1,4,99,1,NA,99,"lúa lai",1,389,"2_NMMA",1,2,2,40000,NA
2,34,1186,11,9,1186011009,"Tinh Ha Giang",4,3,1.26,1,2,1.13,1,"San ưu 838",1,389,"2_NMMA",1,2,2,25.2,31.3888888888889
2,34,1186,11,10,1186011010,"Tinh Ha Giang",4,2,1.25,0,2,1.15,1,"lúa thuần",1,389,"2_NMMA",11,2,2,34.7222222222222,31.9444444444444
2,34,1186,11,11,1186011011,"Tinh Ha Giang",4,2,1,99,2,NA,99,"lúa lai",1,389,"2_NMMA",11,2,2,27.7777777777778,NA
2,34,1186,11,12,1186011012,"Tinh Ha Giang",99,2,1,99,2,NA,99,"lúa lai",1,389,"2_NMMA",11,2,2,27.7777777777778,NA
2,34,1186,11,13,1186011013,"Tinh Ha Giang",5,2,5,99,2,NA,99,"lúa lai",1,389,"2_NMMA",11,2,2,138.888888888889,NA
2,34,1186,11,14,1186011014,"Tinh Ha Giang",4,2,1.26,1,2,1.15,2,"nhi ưu",1,389,"2_NMMA",11,2,2,35,31.9444444444444
2,34,1186,11,15,1186011015,"Tinh Ha Giang",4,2,1.12,0,2,1.13,1,"thái bình",1,389,"2_NMMA",11,2,2,31.1111111111111,31.3888888888889
2,34,1186,11,16,1186011016,"Tinh Ha Giang",1,2,1,99,2,NA,99,"lai",1,389,"2_NMMA",11,2,2,27.7777777777778,NA
4,42,1318,9,1,1318009001,"Tinh Cao Bang",5,1,0.4,4,1,0.4,1,"838",1,297,"2_NMMA",14,1,1,4000,4000
4,42,1318,9,2,1318009002,"Tinh Cao Bang",5,1,0.3,3,1,3,1,"838",1,297,"2_NMMA",14,1,1,3000,30000
4,42,1318,9,3,1318009003,"Tinh Cao Bang",5,1,0.3,3,1,0.3,1,"838",1,297,"2_NMMA",14,1,1,3000,3000
4,42,1318,9,4,1318009004,"Tinh Cao Bang",5,1,0.3,2,1,0.3,1,"Thái Bình",1,297,"2_NMMA",14,1,1,3000,3000
4,42,1318,9,5,1318009005,"Tinh Cao Bang",5,1,0.3,3,1,0.4,1,"Đại thơm",1,297,"2_NMMA",14,1,1,3000,4000
4,42,1318,9,6,1318009006,"Tinh Cao Bang",5,1,0.3,2,1,0.4,2,"Thái Bình",1,297,"2_NMMA",14,1,1,3000,4000
4,42,1318,9,7,1318009007,"Tinh Cao Bang",5,1,0.3,3,1,0.3,1,"Thái Bình",1,297,"2_NMMA",14,1,1,3000,3000
4,42,1318,9,9,1318009009,"Tinh Cao Bang",5,1,0.1,1,1,0.1,2,"đại thơm",1,297,"2_NMMA",14,1,1,1000,1000
4,42,1318,9,10,1318009010,"Tinh Cao Bang",5,1,0.1,99,1,NA,99,"đại thơm",1,297,"2_NMMA",14,1,1,1000,NA
4,42,1318,9,11,1318009011,"Tinh Cao Bang",5,1,0.1,1,1,0.1,2,"đại thơm",1,297,"2_NMMA",14,1,1,1000,1000
4,42,1318,9,12,1318009012,"Tinh Cao Bang",5,1,0.3,5,1,0.3,1,"838",1,297,"2_NMMA",14,1,1,3000,3000
4,42,1318,9,13,1318009013,"Tinh Cao Bang",5,1,0.4,2,1,0.3,2,"838",1,297,"2_NMMA",14,1,1,4000,3000
4,42,1318,9,14,1318009014,"Tinh Cao Bang",5,1,0.3,2,1,0.3,2,"838",1,297,"2_NMMA",14,1,1,3000,3000
4,42,1318,9,15,1318009015,"Tinh Cao Bang",5,1,0.3,0,1,0.3,1,"838",1,297,"2_NMMA",14,1,1,3000,3000
4,43,1321,11,2,1321011002,"Tinh Cao Bang",5,1,0,15,1,0.01,1,"nhị ưu",1,253,"2_NMMA",10,1,1,0,100
4,43,1321,11,3,1321011003,"Tinh Cao Bang",1,1,0,10,1,0,1,"nhị ưu",1,253,"2_NMMA",10,1,1,0,0
4,43,1321,11,4,1321011004,"Tinh Cao Bang",5,1,0,10,1,0,1,"838",1,253,"2_NMMA",10,1,1,0,0
4,43,1321,11,6,1321011006,"Tinh Cao Bang",5,1,50,99,1,NA,2,"tam nông",1,253,"2_NMMA",10,1,1,500000,NA
4,43,1321,11,7,1321011007,"Tinh Cao Bang",5,1,25,99,1,NA,3,"đoàn kết",1,253,"2_NMMA",10,1,1,250000,NA
4,43,1321,11,8,1321011008,"Tinh Cao Bang",5,1,3,99,1,NA,3,"tam nông",1,253,"2_NMMA",10,1,1,30000,NA
4,43,1321,11,9,1321011009,"Tinh Cao Bang",5,1,10,99,1,NA,3,"tam nông",1,253,"2_NMMA",10,1,1,100000,NA
4,43,1321,11,10,1321011010,"Tinh Cao Bang",5,1,3,99,1,NA,3,"đại dương",1,253,"2_NMMA",10,1,1,30000,NA
4,43,1321,11,11,1321011011,"Tinh Cao Bang",5,1,15,99,1,NA,3,"tam nông",1,253,"2_NMMA",10,1,1,150000,NA
4,43,1321,11,13,1321011013,"Tinh Cao Bang",5,1,15,99,1,NA,2,"tam nông",1,253,"2_NMMA",10,1,1,150000,NA
4,47,1498,4,1,1498004001,"Tinh Cao Bang",1,1,0.1,99,1,NA,2,"Địa phương",1,292,"2_NMMA",12,1,1,1000,NA
4,47,1498,4,2,1498004002,"Tinh Cao Bang",1,1,0.1,99,1,NA,2,"địa phương",1,292,"2_NMMA",12,1,1,1000,NA
4,47,1498,4,3,1498004003,"Tinh Cao Bang",1,1,0,NA,1,NA,99,"địa phương",1,292,"2_NMMA",2,1,1,0,NA
4,47,1498,4,4,1498004004,"Tinh Cao Bang",1,1,8,99,1,NA,2,"31",1,292,"2_NMMA",12,1,1,80000,NA
4,47,1498,4,5,1498004005,"Tinh Cao Bang",1,1,8,2,1,11,2,"31",1,292,"2_NMMA",12,1,1,80000,110000
4,47,1498,4,6,1498004006,"Tinh Cao Bang",1,1,1,8,1,8,3,"địa phương tự để giống",1,292,"2_NMMA",12,1,1,10000,80000
4,47,1498,4,7,1498004007,"Tinh Cao Bang",1,1,9,1,1,9,2,"Nhị ưu 838",1,292,"2_NMMA",12,1,1,90000,90000
4,47,1498,4,8,1498004008,"Tinh Cao Bang",1,2,1,99,2,NA,2,"tẻ lai 31",1,292,"2_NMMA",1,1,1,27.7777777777778,NA
4,47,1498,4,9,1498004009,"Tinh Cao Bang",1,1,2,99,1,NA,1,"tẻ lai",1,292,"2_NMMA",12,1,1,20000,NA
4,47,1498,4,10,1498004010,"Tinh Cao Bang",1,1,1.5,3,1,1.5,1,"tẻ lai 31",1,292,"2_NMMA",12,1,1,15000,15000
4,47,1498,4,11,1498004011,"Tinh Cao Bang",1,1,3,4,1,3,1,"tẻ lai 31",1,292,"2_NMMA",12,1,1,30000,30000
4,47,1498,4,12,1498004012,"Tinh Cao Bang",1,1,40,NA,1,NA,3,"địa phương",1,292,"2_NMMA",2,1,1,400000,NA
4,47,1498,4,13,1498004013,"Tinh Cao Bang",1,1,2,3,1,2,2,"31",1,292,"2_NMMA",12,1,1,20000,20000
4,47,1498,4,14,1498004014,"Tinh Cao Bang",1,1,2,99,1,NA,1,"tẻ lai 31",1,292,"2_NMMA",12,1,1,20000,NA
4,47,1498,4,16,1498004016,"Tinh Cao Bang",1,1,9,2,1,9,2,"31",1,292,"2_NMMA",12,1,1,90000,90000
4,48,1537,4,1,1537004001,"Tinh Cao Bang",1,1,5,3,1,5,1,"Q63",1,246,"2_NMMA",10,1,1,50000,50000
4,48,1537,4,2,1537004002,"Tinh Cao Bang",1,1,4,2,1,4,1,"Q63",1,246,"2_NMMA",10,1,1,40000,40000
4,48,1537,4,3,1537004003,"Tinh Cao Bang",1,1,6,2,1,6,1,"gs55",1,246,"2_NMMA",10,1,1,60000,60000
4,48,1537,4,5,1537004005,"Tinh Cao Bang",1,1,5,2,1,5,1,"Q63",1,246,"2_NMMA",10,1,1,50000,50000
4,48,1537,4,6,1537004006,"Tinh Cao Bang",1,1,6,2,1,6,1,"Q63",1,246,"2_NMMA",10,1,1,60000,60000
4,48,1537,4,10,1537004010,"Tinh Cao Bang",1,1,8,2,1,8,1,"Q63",1,246,"2_NMMA",10,1,1,80000,80000
4,48,1537,4,11,1537004011,"Tinh Cao Bang",1,1,5,2,1,5,1,"GS55",1,246,"2_NMMA",10,1,1,50000,50000
4,48,1537,4,13,1537004013,"Tinh Cao Bang",1,1,6,3,1,6,1,"GS55",1,246,"2_NMMA",10,1,1,60000,60000
4,48,1537,4,14,1537004014,"Tinh Cao Bang",6,1,3,2,1,3,1,"Q63",1,246,"2_NMMA",10,1,1,30000,30000
4,48,1537,4,15,1537004015,"Tinh Cao Bang",1,1,3,2,1,4,1,"GS55",1,246,"2_NMMA",10,1,1,30000,40000
4,51,1666,3,1,1666003001,"Tinh Cao Bang",1,1,20,3,1,25,3,"Đoàn kết",1,293,"2_NMMA",11,1,1,200000,250000
4,51,1666,3,2,1666003002,"Tinh Cao Bang",1,1,10,99,1,NA,99,"o",1,293,"2_NMMA",11,1,1,100000,NA
4,51,1666,3,3,1666003003,"Tinh Cao Bang",1,1,2,2,1,2,2,"Đoàn kết",1,293,"2_NMMA",11,1,1,20000,20000
4,51,1666,3,4,1666003004,"Tinh Cao Bang",5,1,10,NA,1,NA,3,"Bao Thai",1,293,"2_NMMA",2,1,1,100000,NA
4,51,1666,3,5,1666003005,"Tinh Cao Bang",1,1,6,3,1,6,3,"Thái lùn",1,293,"2_NMMA",11,1,1,60000,60000
4,51,1666,3,6,1666003006,"Tinh Cao Bang",99,1,30,99,1,NA,2,"Đoàn kết",1,293,"2_NMMA",11,1,1,300000,NA
4,51,1666,3,7,1666003007,"Tinh Cao Bang",1,1,1,2,1,1,3,"Đoàn kết",1,293,"2_NMMA",11,1,1,10000,10000
4,51,1666,3,8,1666003008,"Tinh Cao Bang",5,0,30,NA,0,NA,3,"Bao thai",1,293,"2_NMMA",1,1,1,NA,NA
4,51,1666,3,9,1666003009,"Tinh Cao Bang",1,1,25,2,1,25,3,"Đoàn kết",1,293,"2_NMMA",11,1,1,250000,250000
4,51,1666,3,10,1666003010,"Tinh Cao Bang",1,1,45,2,1,45,3,NA,1,293,"2_NMMA",11,1,1,450000,450000
4,51,1666,3,11,1666003011,"Tinh Cao Bang",1,1,1,2,1,1,2,"Đoàn kết",1,293,"2_NMMA",11,1,1,10000,10000
4,51,1666,3,13,1666003013,"Tinh Cao Bang",1,1,18,0,1,3,2,"Đoàn kết",1,293,"2_NMMA",11,1,1,180000,30000
4,51,1666,3,14,1666003014,"Tinh Cao Bang",1,1,0.8,3,1,0.8,2,"Đoàn kết",1,293,"2_NMMA",11,1,1,8000,8000
4,51,1666,3,15,1666003015,"Tinh Cao Bang",5,1,10,NA,1,NA,2,"DTE",1,293,"2_NMMA",2,1,1,100000,NA
4,51,1699,4,1,1699004001,"Tinh Cao Bang",1,1,7,1,1,7,1,"GS55",1,458,"2_NMMA",8,1,1,70000,70000
4,51,1699,4,2,1699004002,"Tinh Cao Bang",1,1,40,40,1,NA,1,"Đoàn kêt",1,458,"2_NMMA",8,1,1,400000,NA
4,51,1699,4,4,1699004004,"Tinh Cao Bang",5,1,20,NA,1,NA,3,"Đoàn kết",1,458,"2_NMMA",2,1,1,200000,NA
4,51,1699,4,5,1699004005,"Tinh Cao Bang",1,1,6,2,1,6,1,"Đoàn kết",1,458,"2_NMMA",8,1,1,60000,60000
4,51,1699,4,6,1699004006,"Tinh Cao Bang",99,1,20,20,1,NA,1,"Đoàn kết",1,458,"2_NMMA",8,1,1,200000,NA
4,51,1699,4,7,1699004007,"Tinh Cao Bang",1,1,2,2,1,2,3,"Đoàn kết",1,458,"2_NMMA",8,1,1,20000,20000
4,51,1699,4,8,1699004008,"Tinh Cao Bang",5,1,3,NA,1,NA,1,"Đoàn Kết",1,458,"2_NMMA",2,1,1,30000,NA
4,51,1699,4,9,1699004009,"Tinh Cao Bang",1,1,25,3,1,25,3,"Đoàn kết",1,458,"2_NMMA",8,1,1,250000,250000
4,51,1699,4,10,1699004010,"Tinh Cao Bang",1,1,20,99,1,NA,2,"đoàn kết",1,458,"2_NMMA",8,1,1,200000,NA
4,51,1699,4,13,1699004013,"Tinh Cao Bang",1,1,4,2,1,2,1,"0",1,458,"2_NMMA",8,1,1,40000,20000
4,40,1705,13,1,1705013001,"Tinh Cao Bang",4,4,7,3,4,7,1,"Bắc thơm số 7",1,262,"2_NMMA",12,4,4,70,70
4,40,1705,13,2,1705013002,"Tinh Cao Bang",5,4,5,2,4,6,2,"RS225",1,262,"2_NMMA",12,4,4,50,60
4,40,1705,13,3,1705013003,"Tinh Cao Bang",1,4,8,8,4,8,2,"Tam nông",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,4,1705013004,"Tinh Cao Bang",1,4,8,4,4,8,2,"Tam nông",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,5,1705013005,"Tinh Cao Bang",1,4,8,8,4,8,2,"Tam nông",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,7,1705013007,"Tinh Cao Bang",1,4,8,5,4,8,2,"Khang dân",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,8,1705013008,"Tinh Cao Bang",5,4,6,3,4,6,1,"Hana số 7",1,262,"2_NMMA",12,4,4,60,60
4,40,1705,13,9,1705013009,"Tinh Cao Bang",4,4,6,3,4,6,1,"Tam nông",1,262,"2_NMMA",12,4,4,60,60
4,40,1705,13,12,1705013012,"Tinh Cao Bang",1,4,9,8,4,9,2,"Tam nông",1,262,"2_NMMA",12,4,4,90,90
4,40,1705,13,13,1705013013,"Tinh Cao Bang",1,4,8,5,4,8,2,"Tam nông",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,14,1705013014,"Tinh Cao Bang",1,4,8,5,4,8,2,"Tam nông",1,262,"2_NMMA",12,4,4,80,80
4,40,1705,13,15,1705013015,"Tinh Cao Bang",5,4,6,3,4,6,1,"CXT30",1,262,"2_NMMA",12,4,4,60,60
4,52,1726,7,5,1726007005,"Tinh Cao Bang",5,NA,0,NA,NA,NA,99,"Không trồng",1,295,"2_NMMA",1,NA,NA,NA,NA
6,58,1849,5,1,1849005001,"Tinh Bac Kan",5,1,1,3,1,2,3,"Bắc Hương",1,153,"2_NMMA",10,1,1,10000,20000
6,58,1849,5,2,1849005002,"Tinh Bac Kan",4,1,4,2,1,4,1,"Bắc Hương",1,153,"2_NMMA",10,1,1,40000,40000
6,58,1849,5,4,1849005004,"Tinh Bac Kan",4,1,2,2,1,3,2,"Khang dân",1,153,"2_NMMA",10,1,1,20000,30000
6,58,1849,5,5,1849005005,"Tinh Bac Kan",5,1,1,2,1,1,1,"Khang dân",1,153,"2_NMMA",10,1,1,10000,10000
6,58,1849,5,6,1849005006,"Tinh Bac Kan",1,1,5,3,1,8,2,"giống thuần",1,153,"2_NMMA",10,1,1,50000,80000
6,58,1849,5,7,1849005007,"Tinh Bac Kan",1,1,4,2,1,5,1,"giống lai",1,153,"2_NMMA",10,1,1,40000,50000
6,58,1849,5,9,1849005009,"Tinh Bac Kan",1,1,8,99,1,NA,2,"giống lai",1,153,"2_NMMA",10,1,1,80000,NA
6,58,1849,5,10,1849005010,"Tinh Bac Kan",1,1,4,5,1,4,2,"giống lai",1,153,"2_NMMA",10,1,1,40000,40000
6,58,1849,5,12,1849005012,"Tinh Bac Kan",1,1,10,10,1,20,1,"khang dân",1,153,"2_NMMA",10,1,1,100000,200000
6,58,1849,5,13,1849005013,"Tinh Bac Kan",1,1,10,99,1,NA,1,"khang dân",1,153,"2_NMMA",10,1,1,100000,NA
6,61,1912,7,1,1912007001,"Tinh Bac Kan",1,2,1,1,2,4,1,"thái bình",1,156,"2_NMMA",5,2,2,27.7777777777778,111.111111111111
6,61,1912,7,2,1912007002,"Tinh Bac Kan",1,3,5,3,3,5,3,"thái bình",1,156,"2_NMMA",3,2,2,100,100
6,61,1912,7,3,1912007003,"Tinh Bac Kan",1,2,3,3,2,4,2,"đoàn kết",1,156,"2_NMMA",5,2,2,83.3333333333333,111.111111111111
6,61,1912,7,4,1912007004,"Tinh Bac Kan",1,2,1,1,2,3,1,"thái bình",1,156,"2_NMMA",5,2,2,27.7777777777778,83.3333333333333
6,61,1912,7,5,1912007005,"Tinh Bac Kan",1,2,4,2,2,4,3,"thái bình",1,156,"2_NMMA",5,2,2,111.111111111111,111.111111111111
6,61,1912,7,6,1912007006,"Tinh Bac Kan",5,4,5,1,4,3,2,"thái bình",1,156,"2_NMMA",4,2,2,50,30
6,61,1912,7,7,1912007007,"Tinh Bac Kan",1,3,5,99,3,NA,3,"bưu điện",1,156,"2_NMMA",3,2,2,100,NA
6,61,1912,7,8,1912007008,"Tinh Bac Kan",1,3,5,99,3,NA,3,"thái bình",1,156,"2_NMMA",3,2,2,100,NA
6,61,1912,7,9,1912007009,"Tinh Bac Kan",5,2,25,NA,2,NA,2,"lai",1,156,"2_NMMA",2,2,2,694.444444444444,NA
6,61,1912,7,10,1912007010,"Tinh Bac Kan",5,4,3,99,4,NA,2,"lai",1,156,"2_NMMA",4,2,2,30,NA
6,61,1912,7,11,1912007011,"Tinh Bac Kan",5,4,5,99,4,NA,2,"lai",1,156,"2_NMMA",4,2,2,50,NA
6,61,1912,7,12,1912007012,"Tinh Bac Kan",5,2,6,NA,2,NA,2,"lai",1,156,"2_NMMA",2,2,2,166.666666666667,NA
6,61,1912,7,13,1912007013,"Tinh Bac Kan",1,2,4.4,2,2,4.4,3,"bao thai",1,156,"2_NMMA",5,2,2,122.222222222222,122.222222222222
6,61,1912,7,15,1912007015,"Tinh Bac Kan",5,4,10,1,4,5,2,"thái bình",1,156,"2_NMMA",4,2,2,100,50
6,64,2035,3,1,2035003001,"Tinh Bac Kan",4,1,0,25,1,NA,3,"bao thai",1,102,"2_NMMA",2,3,3,0,NA
6,64,2035,3,2,2035003002,"Tinh Bac Kan",1,1,3,NA,1,NA,1,"bao thai",1,102,"2_NMMA",2,3,3,30000,NA
6,64,2035,3,4,2035003004,"Tinh Bac Kan",4,3,2,99,3,NA,1,"bao thai",1,102,"2_NMMA",3,3,3,40,NA
6,64,2035,3,6,2035003006,"Tinh Bac Kan",5,3,1,99,3,NA,2,"bao thai",1,102,"2_NMMA",3,3,3,20,NA
6,64,2035,3,13,2035003013,"Tinh Bac Kan",4,3,1,99,3,NA,1,"tạp giao",1,102,"2_NMMA",3,3,3,20,NA
6,64,2044,3,3,2044003003,"Tinh Bac Kan",5,1,0.1,2,1,0.03,1,"khang dân",1,153,"2_NMMA",8,1,1,1000,300
6,64,2044,3,6,2044003006,"Tinh Bac Kan",5,1,0.1,3,1,0.03,2,"thái bình",1,153,"2_NMMA",8,1,1,1000,300
6,64,2044,3,7,2044003007,"Tinh Bac Kan",5,1,0.03,2,1,0.04,2,"Thái bình",1,153,"2_NMMA",8,1,1,300,400
6,64,2044,3,9,2044003009,"Tinh Bac Kan",5,1,0.03,2,1,0.03,1,"Thái bình",1,153,"2_NMMA",8,1,1,300,300
6,64,2044,3,10,2044003010,"Tinh Bac Kan",5,1,0.03,2,1,0.03,2,"tạp giao",1,153,"2_NMMA",8,1,1,300,300
