MATINH,IDHO,MAHUYEN,MAXA,MADIABAN,HOSO,breeding_main_variety,Correct_name.DNA2,breeding_seed_origin,breeding_seed_duration,Decision,Convergence.on.Year,IRRI_Parentage,Saltol,qSub1,breeding_certified_seed,KYDIEUTRA,mech_mini_combiner,mech_combine_harvester,mech_straw_baler,mech_row_seeder,mech_seed_blower,straw_burn,straw_incorporated_soil,straw_mulching,straw_other,straw_remove_completely,straw_remove_partly,straw_rm_compost,straw_rm_cooking,straw_rm_livestock,straw_rm_mushroom,straw_rm_other,straw_rm_sold,panel,weight_final_rice,weight_rice_DNA,THUNHAP,TONGCHITIEU,ethnic,rls_head,age,edu_grade,n_member,male,female,internet,land_area_sum,poor_commune,dummy_main_str,dist_main_str,type_main_str,dummy_local_market_wholesale,dist_market_wholesale,dummy_ext_center,dist_ext_center,farmer_participation_pct,dummy_protection_staff,main_str_asphalt,IRRI_Parentage_edited,Quintiles,Bottom_20,Bottom_40,Sub1
15,04765007009,141,04765,007,009,Thái Bình,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,4,0,0,0,0,0,0,0,1,0,0,0,,,,,,,2022,287.252033556482,10098.3086392172,126863,,1,1,47,,3,1,0,0,7100,0,1,,1,0,60,0,40,,0,1,1,,,,0
30,11137006011,298,11137,006,011,BC15,BC15,7,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],0,4,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,749.321316292959,12293.0711861391,84240,,0,1,48,9,5,1,0,1,720,0,1,,1,0,30,0,8,,0,1,1,,,,0
08,02530008005,075,02530,008,005,thái bình,BC15,7,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,0,0,0,1,0,0,,,,,,,2022,331.24582381832,6055.35045979039,176256,,0,1,70,3,8,1,0,0,4160,0,1,,2,0,15,0,25,,0,0,1,,,,0
31,11503005007,311,11503,005,007,TBR 225,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,5,0,0,0,0,0,0,0,1,0,0,0,,,,,,,2022,962.259224445637,15786.4468665461,60722,,0,1,61,9,2,1,0,1,1180,0,1,,1,0,4,0,13,,0,1,1,,,,0
22,07153005009,206,07153,005,009,BTR25,BC15,5,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,1221.36607295965,25762.1812041029,108120,,0,1,67,12,2,1,0,1,,0,1,,2,0,0,0,6,,1,0,1,,,,0
10,02971005001,087,02971,005,001,BC 15,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,9,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,297.861942111197,7329.90903581143,101100,,1,1,39,2,5,1,0,1,17900,1,1,,1,0,21,0,24,,0,1,1,,,,0
34,13189002005,343,13189,002,005,Q5,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,0,0,0,1,0,0,,,,,,,2022,418.32353473233,10294.2773937276,151129,,0,1,55,12,3,1,0,1,1800,0,1,,1,0,10,0,6,,0,1,0,,,,0
45,19603006001,468,19603,006,001,HC95,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,202.438104660541,6832.01834449817,93023,,0,1,35,12,4,1,0,1,532,0,1,,1,0,0.1,0,7,,1,1,0,,,,0
36,14005024005,362,14005,024,005,bắc thơm,BT7,3,,"","",Chinese purebred variety,0,[--],1,5,0,1,0,1,0,1,0,0,0,0,0,,,,,,,2022,627.117999040286,11758.0017874618,190126,115219.5,0,1,52,9,4,1,0,1,2160,0,1,,1,0,5,0,13,,1,1,0,4,0,0,0
34,13108009005,336,13108,009,005,t10,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,414.759845651186,8748.49771613448,102576,,0,1,55,9,2,1,0,0,720,0,1,,1,1,5,1,5,80,1,1,0,,,,0
30,10984004011,296,10984,004,011,Bắc thơm số 7,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,718.193906150427,40396.8244182945,356255,,0,1,50,12,6,1,0,1,1440,0,1,,1,0,20,0,12,,1,1,0,,,,0
33,12160009009,329,12160,009,009,tẻ thơm,BT7,7,,"","",Chinese purebred variety,0,[--],0,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,605.032946287854,9925.93286345021,255696,,0,1,64,9,7,1,0,1,2880,0,1,,1,0,12,0,3,,0,1,0,,,,0
30,11224002011,299,11224,002,011,Tẻ Thơm,BT7,7,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,654.225084518166,10349.639769417,93840,,0,1,54,9,4,1,0,1,1440,0,1,,1,0,6,0,7,,0,1,0,,,,0
01,10345006009,280,10345,006,009,lúa thơm DT.T6,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,920.085956056333,35580.0550067928,135717,,0,1,67,9,6,0,1,0,400,0,1,,1,0,0,1,5,80,1,1,0,,,,0
36,14230009005,366,14230,009,005,bắc thơm số 7,BT7,7,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,1767.51531968132,18641.032756181,248927,,0,1,56,9,4,1,0,1,1008,0,1,,1,0,35,0,5,,1,1,0,,,,0
01,10345006003,280,10345,006,003,thơm dtt6,BT7,3,,"","",Chinese purebred variety,0,[--],1,3,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,920.085956056333,35580.0550067928,112608,,0,1,31,12,6,1,0,1,1440,0,1,,1,0,0,1,5,80,1,1,0,,,,0
35,13483003015,351,13483,003,015,Bắc thơm,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,560.033057962811,11812.734477358,144468,63773,0,1,45,12,3,1,0,0,3600,0,1,,1,0,15,0,10,,1,1,0,2,0,1,0
36,14230009007,366,14230,009,007,bắc thơm số 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,1767.51531968132,18641.032756181,174793,,0,1,62,5,2,1,0,1,2232,0,1,,1,0,35,0,5,,1,1,0,,,,0
34,13000001005,342,13000,001,005,T10,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,584.316470224274,10955.504565097,160739,,0,1,49,9,5,1,0,1,1238,0,1,,1,0,4,0,10,,1,1,0,,,,0
27,09448007003,262,09448,007,003,BT7,BT7,3,,"","",Chinese purebred variety,0,[--],1,5,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,570.804542774116,16053.2487773442,206736,,0,1,48,5,4,1,0,0,2160,0,1,,1,0,1,0,8,,0,1,0,,,,0
36,13981002007,362,13981,002,007,bắc thơm,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,541.380899348001,13956.9294597873,168769,,0,1,49,9,2,1,0,1,3240,0,1,,1,0,2.5,0,7,,1,1,0,,,,0
36,13990017015,362,13990,017,015,bắc thơm,BT7,3,,"","",Chinese purebred variety,0,[--],1,6,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,958.158254808674,23578.7519542779,207660,,0,1,58,6,5,0,1,0,2620,0,1,,1,0,3,0,3,,1,1,0,,,,0
36,14059004009,363,14059,004,009,Bắc Thơm số 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,636.544733483831,13426.589399843,158186,,0,1,65,12,2,1,0,1,2460,0,1,,2,0,7,1,5,85,1,0,0,,,,0
27,09499015005,264,09499,015,005,Tám thơm,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,2515.06952898475,17683.3897663494,100078,,0,1,48,9,3,0,1,1,1800,0,1,,1,0,20,0,10,,0,1,0,,,,0
30,11065007007,297,11065,007,007,225,BT7,6,,"","",Chinese purebred variety,0,[--],1,4,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,905.273458257152,10608.2576929488,178343,33181.5,0,1,59,9,3,1,0,0,840,0,1,,1,0,8,0,8,,1,1,0,1,1,1,0
36,14059004011,363,14059,004,011,Bắc thơm số 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,636.544733483831,13426.589399843,103272,,0,1,64,9,2,1,0,0,2160,0,1,,2,0,7,1,5,85,1,0,0,,,,0
36,14044003003,363,14044,003,003,Bắc thơm số 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,641.789655222759,49636.4738214051,278785,,0,1,42,9,6,1,0,1,720,0,1,,1,0,2,0,10,,1,1,0,,,,0
33,12160009013,329,12160,009,013,tẻ đỏ,BT7,7,,"","",Chinese purebred variety,0,[--],0,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,605.032946287854,9925.93286345021,127909,90326,0,1,42,7,3,1,0,0,4680,0,1,,1,0,12,0,3,,0,1,0,4,0,0,0
27,09448007011,262,09448,007,011,bắc thơm 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,5,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,570.804542774116,16053.2487773442,77577,,0,1,51,9,3,1,0,1,1800,0,1,,1,0,1,0,8,,0,1,0,,,,0
01,10495002001,282,10495,002,001,bắc thơm số 7,BT7,6,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,1376.96635116502,15490.2645209196,37872,46312,0,1,62,9,2,1,0,1,4320,0,1,,1,0,3,0,6,,1,1,0,2,0,1,0
36,14125022001,364,14125,022,001,bắc thơm,BT7,7,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,1500.73992539204,42206.6566872877,37343,,0,1,56,9,2,1,0,1,2530,0,1,,1,0,35,0,8,,1,1,0,,,,0
30,11224002013,299,11224,002,013,Bắc Thơm số 7,BT7,7,,"","",Chinese purebred variety,0,[--],1,4,1,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,654.225084518166,10349.639769417,3935,53919,0,1,64,9,2,1,0,1,1080,0,1,,1,0,6,0,7,,0,1,0,2,0,1,0
37,14731006007,377,14731,006,007,thiên hương,BT7,7,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,508.08699409518,7144.69341563273,109982,,0,1,52,12,3,1,0,1,2430,0,1,,1,0,15,0,4,,1,1,0,,,,0
35,13483003013,351,13483,003,013,Bắc Thơm,BT7,3,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,560.033057962811,11812.734477358,42360,28850,0,1,69,9,2,1,0,0,1872,0,1,,1,0,15,0,10,,1,1,0,1,1,1,0
15,04435008001,136,04435,008,001,chiêm hương,BT7,7,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,545.163872457949,10732.4932252961,28609,,1,1,53,4,2,1,0,1,6046,0,1,,1,0,0,0,10,,0,1,0,,,,0
36,14059004013,363,14059,004,013,bắc thơm số 7,BT7,3,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,636.544733483831,13426.589399843,35042,38519.5,0,1,61,9,2,1,0,1,1770,0,1,,2,0,7,1,5,85,1,0,0,1,1,1,0
15,04435008005,136,04435,008,005,chiêm hương,BT7,7,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,545.163872457949,10732.4932252961,246097,,1,1,29,12,6,1,0,1,12060,0,1,,1,0,0,0,10,,0,1,0,,,,0
36,14059004003,363,14059,004,003,bắc thơm số 7,BT7,7,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,636.544733483831,13426.589399843,42048,,0,1,76,5,2,1,0,1,1180,0,1,,2,0,7,1,5,85,1,0,0,,,,0
36,13981002009,362,13981,002,009,bắc thơm,BT7,7,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,541.380899348001,13956.9294597873,175356,,0,1,42,9,3,1,0,1,1224,0,1,,1,0,2.5,0,7,,1,1,0,,,,0
34,13000001003,342,13000,001,003,T10,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,584.316470224274,10955.504565097,57552,,0,1,64,5,2,0,1,0,1100,0,1,,1,0,4,0,10,,1,1,0,,,,0
37,14731006001,377,14731,006,001,thiên hương,BT7,7,,"","",Chinese purebred variety,0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,508.08699409518,7144.69341563273,300485,,0,1,52,9,5,1,0,1,1730,0,1,,1,0,15,0,4,,1,1,0,,,,0
36,13981002005,362,13981,002,005,Bắc thơm,BT7,6,,"","",Chinese purebred variety,0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,541.380899348001,13956.9294597873,57479,,0,1,71,9,2,1,0,0,1692,0,1,,1,0,2.5,0,7,,1,1,0,,,,0
11,03214008007,101,03214,008,007,bắc thơm 87,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,307.672918598086,4759.12899040061,138312,,1,1,66,1,6,1,0,0,16600,1,1,,2,0,90,0,42,,0,0,1,,,,0
84,29347002005,846,29347,002,005,Đài thơm tám,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2022,633.979841223833,8914.99221565838,973837,,1,1,41,12,3,1,0,1,15200,0,1,,2,0,0,0,1,,1,0,1,,,,0
92,31246001007,924,31246,001,007,GiốngLúaĐàiThơm,Dai Thom 8,5,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,433.349901711435,6093.74423160845,216192,,0,1,54,3,4,0,1,1,10500,0,0,1,1,0,0,0,4,,1,1,1,,,,0
89,30391005003,887,30391,005,003,nếp,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,442.59308887342,6223.72145838887,237170,,0,1,71,4,6,1,0,0,10000,0,1,,1,0,0,0,4,,1,1,1,,,,0
87,30148001001,874,30148,001,001,lúa đài thơm 8,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,0,0,0,0,1,0,0,,,,,,,2022,640.03315075306,7875.09935252544,86342,,0,1,58,3,1,0,1,0,1300,0,1,,2,0,25,0,18,,0,0,1,,,,0
91,30931008001,906,30931,008,001,đài thơm,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,890.959324573921,10440.52051102,248255,,0,1,65,7,6,0,1,1,7800,0,1,,1,0,0.1,0,15,,1,1,1,,,,0
93,31486001015,936,31486,001,015,đài thơm 8,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,531.289623671985,5336.40543584906,32078,56243.5,0,1,42,2,3,1,0,1,1880,0,1,,1,0,0,0,7,,1,1,1,2,0,1,0
87,30034007003,871,30034,007,003,đài thỏm 8,Dai Thom 8,6,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,1,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,612.64002750338,12922.3692641003,245163,100660.5,0,1,66,4,5,0,1,0,30000,1,1,,2,0,0,0,14,,0,0,1,4,0,0,0
87,30034007009,871,30034,007,009,đài thơm 8,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,1,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,612.64002750338,12922.3692641003,203854,,0,1,44,3,4,1,0,1,25000,1,1,,2,0,0,0,14,,0,0,1,,,,0
92,31246001009,924,31246,001,009,ĐàiThơm,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,433.349901711435,6093.74423160845,195362,,0,1,46,5,4,1,0,1,6500,0,0,1,1,0,0,0,4,,1,1,1,,,,0
66,24394024007,651,24394,024,007,đài thơm,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,333.032404303266,5151.39316545733,31707,,0,1,56,10,2,1,0,1,5000,0,1,,2,0,1,0,3,,0,0,1,,,,0
87,30199024015,875,30199,024,015,Ir 50404,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,605.622312496,8516.230091967,328021,,0,1,60,5,5,1,0,0,2000,0,1,,2,0,1,0,15,,0,0,1,,,,0
93,31486001013,936,31486,001,013,đài thơm 8,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,531.289623671985,5336.40543584906,42528,50473,0,1,41,6,4,1,0,1,9100,0,1,,1,0,0,0,7,,1,1,1,2,0,1,0
93,31348003011,932,31348,003,011,Đài thơm8,Dai Thom 8,4,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,1,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,275.000567078581,5800.56593773056,193537,,0,1,61,4,6,1,0,1,9100,0,1,,1,0,12,0,12,,1,1,1,,,,0
84,29503003015,849,29503,003,015,Đài thơm 8,Dai Thom 8,8,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,462.517767404452,6503.90127240434,95886,,0,1,45,9,2,1,0,0,5000,0,1,,2,0,0.1,0,15,,1,0,1,,,,0
66,24394024005,651,24394,024,005,đài thơm,Dai Thom 8,1,2,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],0,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,333.032404303266,5151.39316545733,78180,,0,1,56,9,5,1,0,0,23000,0,1,,2,0,1,0,3,,0,0,1,,,,0
91,30835012017,903,30835,012,017,Đài thơm,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,0,1,0,0,1,0,0,0,0,,,,,,,2022,450.08944121514,9493.70217443476,306141,,0,1,49,12,3,1,0,1,30000,0,1,,1,0,30,0,10,,1,1,1,,,,0
84,29278019005,844,29278,019,005,Đài thơm 8,Dai Thom 8,1,5,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2022,271.883174734084,8920.81714118183,104941,90007,0,1,85,,5,0,1,0,19100,0,1,,2,1,5,0,12,,0,0,1,4,0,0,0
66,24394024003,651,24394,024,003,đài thơm,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,333.032404303266,5151.39316545733,83593,,0,1,51,12,2,1,0,1,14000,0,1,,2,0,1,0,3,,0,0,1,,,,0
94,31678015007,951,31678,015,007,đài thơm 8,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,527.381386724145,11124.015272125,259316,203427.5,1,1,58,3,5,1,0,1,12000,0,1,,1,0,7,1,5,40,1,1,1,5,0,0,0
93,31486001001,936,31486,001,001,OM18,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,531.289623671985,5336.40543584906,110543,,0,1,54,9,2,1,0,0,7200,0,1,,1,0,0,0,7,,1,1,1,,,,0
66,24592002007,656,24592,002,007,đài thơm 8,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,4,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,740.256842732035,12144.36299337,126673,,0,1,48,9,7,0,1,1,1500,1,1,,1,0,0,0,15,,0,1,1,,,,0
93,31486015001,936,31486,015,001,om 18,Dai Thom 8,4,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2022,656.205933999624,2636.438399854,178128,,0,1,45,10,3,1,0,1,14300,0,1,,1,0,0,0,7,,1,1,1,,,,0
92,31285006003,927,31285,006,003,Đài thơm 8,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,2,0,1,0,0,1,1,0,0,0,0,0,,,,,,,2022,599.263000822534,11235.7410337674,225531,,0,1,47,9,2,1,0,1,17550,0,1,,1,0,0,0,4,,0,1,1,,,,0
15,04435008011,136,04435,008,011,chiêm hương,Dai Thom 8,7,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,545.163872457949,10732.4932252961,259731,,1,1,44,5,7,1,0,1,15920,0,1,,1,0,0,0,10,,0,1,1,,,,0
49,20386004007,518,20386,004,007,thiên ưu 8,Dai Thom 8,3,,"1345/QD-BNN-TT, 04-11-2017 ",Yes,IRRI-related (P2),0,[--],1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,671.781000124629,6612.5851298743,174739,,0,1,66,9,3,1,0,1,3500,0,1,,1,0,8,0,7,,1,1,1,,,,0
